cluster_id,size,cluster_template,example_raw,label
T00015354,126,<*> <*> <*> <*> <*> <*> <*> power down request repeating for <*> power <*>,[2025-09-01T18:05:06.241] power down request repeating for node cpu-48c-std-dy-c7i24xlarge-10,node_shutdown_event
T00016106,124,[2025-09-01T15:32:36.704] [2025-09-01T15:32:36.704] [2025-09-01T15:32:36.704] requeue job JobId=859 due to failure of node cpu,[2025-09-01T15:36:44.751] update_node: node cpu-48c-std-dy-c7i24xlarge-5 reason set to: (Code:InsufficientInstanceCapacity)Failure when resuming nodes,job_failed_event
T00015389,122,<*> update_part: setting state_up to 0 for partition <*> <*> <*>,[2025-09-01T15:38:06.208] update_node: node cpu-48c-std-dy-c7i24xlarge-6 reason set to: Enabling node since insufficient capacity timeout expired,node_unresponsive
T00016175,116,<*> error: Unable to resolve <*>,[2025-09-01T15:48:33.003] error: _xgetaddrinfo: getaddrinfo(cpu-48c-std-dy-c7i24xlarge-5:6818) failed: Temporary failure in name resolution,job_failed_event
T00016205,111,[2025-09-01T15:53:06.191]. power down request repeating for node [2025-09-01T15:53:06.191]: power down request repeating for node power down request power down request:53.,[2025-09-01T16:23:06.231] update_node: node cpu-48c-std-dy-c7i24xlarge-5 reason set to: Enabling node since insufficient capacity timeout expired,node_shutdown_event
T00016107,89,[2025-09-01T15:32:36.704] Requering JobId=859 [2025-09-01T15:32:36.704] Requering JobId=859 [2025-09-01T15:32:36.704] Requering Job,[2025-09-01T15:36:44.751] requeue job JobId=863 due to failure of node cpu-48c-std-dy-c7i24xlarge-5,job_failed_event
T00016883,87,_nodes: node gpu-1g-l4-2c-dy-g6xlarge-2 state set to DRAIN.._nodes: node_nodes: node drain_nodes: node drain_no,[2025-09-02T08:20:56.185] update_node: node gpu-1g-l4-2c-dy-g6xlarge-22 reason set to: updating node state during cluster update,gpu_instance_mapping
T00016676,86,[2025-09-01T18:14:19.000] sched: [2025-09-01T18:14:19.000]-dy-c7i24xlarge-15 sched-c7i24xlarge-15c.000,[2025-09-02T08:20:56.184] update_node: node gpu-1g-l4-2c-dy-g6xlarge-1 reason set to: updating node state during cluster update,gpu_instance_mapping
T00016201,74,: node <*> <*> at: [2025-09-01T15:53:06.19,[2025-09-01T16:11:22.015] requeue job JobId=863 due to failure of node cpu-48c-std-dy-c7i24xlarge-5,job_failed_event
T00016884,69,[2025-09T08:20:56.185] power down request repeating for node. [2025-09-02T08:20:56.185] power down request repeating for node power down request. [2025-09-02T08:20:,[2025-09-02T08:20:56.185] drain_nodes: node gpu-1g-l4-2c-dy-g6xlarge-43 state set to DRAIN,gpu_instance_mapping
T00015415,63,[2025-08-27T10:08:36.898]... [2025-08-27T10:08:36.898] [2025-08-27T10:08:36.898] [2025-08-27T10:,[2025-08-27T12:53:47.837] POWER: Power save mode: 208 nodes,node_shutdown_event
T00016108,63,<*> update_node: node <*> state set to DOWN <*> <*>,[2025-09-01T15:41:23.788] Requeuing JobId=863,
T00016216,62,-05-09T15:56:22.873 [2025-09-01T15:56:22.873]2025-09-01T15:56:22.873:22.873 Requering JobId=863 JobId=863 [2025-0,[2025-09-01T16:01:32.909] update_node: node cpu-48c-std-dy-c7i24xlarge-5 reason set to: (Code:InsufficientInstanceCapacity)Failure when resuming nodes,job_failed_event
T00015311,54,node cpu-48c-std-dy-c7i24xlarge-15 node.-node-cpu-48c-std-dy-c7i24xlarge-15.118]-no,[2025-08-27T09:41:14.182] update_node: node gpu-1g-l4-2c-dy-g6xlarge-12 reason set to: stopping cluster,gpu_instance_mapping
T00016870,48,[2025-09-02T08:20:55.889] power down request repeating for node5-09-02T08:20:55.889 power down request:55.889 power down request repeating for node node cpu-8c,[2025-09-02T08:20:55.965] drain_nodes: node cpu-16c-std-dy-c7i8xlarge-17 state set to DRAIN,node_draining_state
T00016930,48,"[2025-09-02T08:20:58.287] Gres Count=100 Gres287gpugpugpugpuHAS_FILE,HAS_TYPE,ENV_NVML","[2025-09-02T14:29:18.791] Gres Name=gpu Type=l4 Count=1 Flags=HAS_FILE,HAS_TYPE,ENV_NVML,ENV_RSMI,ENV_ONEAPI,ENV_OPENCL,ENV_DEFAULT",gpu_instance_mapping
T00016037,45,: POWER: no more nodes to resume for job--850-850-850-850-850-850-850-850-850-850-850-850-850-850-850-850-850-850-850-850-850-850-850-,[2025-09-01T15:31:39.001] sched: Allocate JobId=857 NodeList=cpu-48c-std-dy-c7i24xlarge-3 #CPUs=48 Partition=cpu-48c-std,node_shutdown_event
T00015350,45,gpu-1g-l4-2c-dy-g6xlarge-50 node [2025-08-27T09:41:14.183]-g6xlarge-50gpu-1g-l4-2c-dy-g6xlarge,[2025-09-01T18:05:06.241] power down request repeating for node cpu-48c-std-dy-c7i24xlarge-9,node_shutdown_event
T00015466,43,<*> Gres <*> <*> Gresgpugpugpugpugpu=l4,"[2025-08-27T11:20:46.126] Gres Name=gpu Type=l4 Count=1 Flags=HAS_FILE,HAS_TYPE,ENV_NVML,ENV_RSMI,ENV_ONEAPI,ENV_OPENCL,ENV_DEFAULT",gpu_instance_mapping
T00015308,41,2025-08-27T09:41:14.118 node node0 node- node2025-08-27T09:41:14.118] [2025-08-27T09:41:14.118] [2025-08,[2025-08-27T09:41:14.182] power down request repeating for node gpu-1g-l4-2c-dy-g6xlarge-27,gpu_instance_mapping
T00015349,39,[2025-08-27T09:41:14.183] power down request repeating for node. power down request repeating for node power down request repeating for node <*>,[2025-08-27T09:41:14.183] power down request repeating for node gpu-1g-l4-2c-dy-g6xlarge-68,gpu_instance_mapping
T00015663,38,[2025-08-28T07:32:45.508] Gres Count=4.4 -0= [2025-08-28T07:32:45.508] Gres=4 Count=4=4=,"[2025-09-02T08:20:58.260] Gres Name=gpu Type=l4 Count=1 Flags=HAS_FILE,HAS_TYPE,ENV_NVML,ENV_RSMI,ENV_ONEAPI,ENV_OPENCL,ENV_DEFAULT",gpu_instance_mapping
T00015337,36,power down request repeating for node for node gpu-1g-l4-2c-dy-g6xlarge-30. power down request repeating for node-dy-g6xlarge-30.-dy power down5-08-,[2025-08-27T09:41:14.183] power down request repeating for node gpu-1g-l4-2c-dy-g6xlarge-42,gpu_instance_mapping
T00016255,36,:::: [2025-09-01T16:06:43.006] update_node: node <*> reason set: (Code:InsufficientInstanceCapacity,[2025-09-01T16:16:30.686] POWER: power_save: waking nodes cpu-48c-std-dy-c7i24xlarge-[5-12],node_shutdown_event
T00016127,35,[2025-09-01T15:34:16.446] _slurm_rpc_submit_batch_job: JobId=861 InitPrio=46511 usec=603 usec=603 usec=603 usec,[2025-09-01T15:43:26.447] POWER: power_save: suspending nodes cpu-48c-std-dy-c7i24xlarge-[5-20],node_shutdown_event
T00016269,35,[2025-09-01T16:08:06.185]. <*>,[2025-09-01T16:13:06.211] update_node: node cpu-48c-std-dy-c7i24xlarge-5 reason set to: Enabling node since insufficient capacity timeout expired,node_unresponsive
T00016164,33,[2025-09-01T15:42:06.148] update_node: node. [2025-09-01T15:42:06.148] [2025-09-01T15:42:06.148] [2025-09-01T15:42:06.148],[2025-09-01T16:30:29.147] update_node: node cpu-48c-std-dy-c7i24xlarge-7 state set to DOWN,
T00015285,33,node cpu-32c-std-dy-c7i16xlarge-5 node node node cpu-32c-std-dy-c7i16xlarge-5-c7i16xlarge-5,[2025-08-27T09:41:14.182] power down request repeating for node gpu-1g-l4-2c-dy-g6xlarge-14,gpu_instance_mapping
T00016400,33,[2025-09-01T16:42:17.002] sched: [2025-09-01T16:42:17.002] [2025-09-01T16:42:17.002] sched: [2025-09-01T16:42:17.002,"[2025-09-01T17:06:37.057] POWER: power_save: suspending nodes cpu-48c-std-dy-c7i24xlarge-[7-12,19-20]",node_shutdown_event
T00017273,33,power down request repeating for node. [2025-09T07:52:06.973] power down request repeating for node gpu-1g-l4-2c-dy-g6xlarge-8-dy-g6xlarge-8. [,[2025-09-03T07:52:06.974] update_node: node gpu-1g-l4-2c-dy-g6xlarge-34 reason set to: updating node state during cluster update,gpu_instance_mapping
T00016891,32,:_node [2025-09-02T08:20:56.419] update_node: node_node node state during cluster <*>,[2025-09-03T07:52:06.332] power down request repeating for node cpu-32c-std-dy-c7i16xlarge-10,node_shutdown_event
T00016966,31,"[2025-09-02T08:21:05.178] Gres Count=11780 [2025-09-02T08:21:05.178] Gres178gpugpugpugpu,HAS_","[2025-09-02T08:21:05.187] Gres Name=gpu Type=l4 Count=1 Flags=HAS_FILE,HAS_TYPE,ENV_NVML,ENV_RSMI,ENV_ONEAPI,ENV_OPENCL,ENV_DEFAULT",gpu_instance_mapping
T00015345,31,[2025-08-27T09:41:14.183] power down request repeating for node. power down request repeating for <*> power down request. power down request power down request repeating for <*>,[2025-08-27T09:41:14.215] power down request repeating for node gpu-1g-l4-4c-dy-g62xlarge-29,gpu_instance_mapping
T00016305,31,[2025-09-01T16:21:17.002] sched: [2025-09-01T16:21:17.002] [2025-09-01T16:21:17.002] sched: [2025-09-01T16:21:17.002,[2025-09-01T16:32:29.014] error: _xgetaddrinfo: getaddrinfo(cpu-48c-std-dy-c7i24xlarge-10:6818) failed: Temporary failure in name resolution,job_failed_event
T00015297,30,cpu-48c-std-dy-c7i24xlarge-3 node..-cpu-48c-std-dy-c7i24xlarge-3._nodenode.,[2025-09-01T15:38:06.208] power down request repeating for node cpu-48c-std-dy-c7i24xlarge-6,node_shutdown_event
T00016143,29,[2025-09-01T15:37:06.171] _slurm_rpc_submit_batch_job: JobId=864 InitPrio=46511 usec=613 [2025-09-01T15:37:06.17,[2025-09-01T15:42:06.148] update_node: node cpu-48c-std-dy-c7i24xlarge-15 reason set to: (Code:InsufficientInstanceCapacity)Temporarily disabling node due to insufficient capacity,node_error_event
T00017247,28,: node cpu <*> node state update.. [2025-09-03T07:52:06.172] update_node: node cpu 8c-st,[2025-09-03T07:52:06.172] power down request repeating for node cpu-8c-std-dy-c7i4xlarge-16,node_shutdown_event
T00016178,26,: POWER: no more nodes to resume for job863 POWER: no more nodes to resume for job5-09-01T15:32.469] POWER: no more nodes to resume for job: no more nodes to resume for job:5-0,[2025-09-01T15:48:33.006] error: _thread_per_group_rpc: no ret_list given,node_error_event
T00016139,24,[2025-09-01T15:37:06.146] update_node: node. [2025-09-01T15:37:06.146] [2025-09-01T15:37:06.146] [2025-09-01T15:37:06.146],[2025-09-01T15:42:06.148] update_node: node cpu-48c-std-dy-c7i24xlarge-8 state set to DOWN,
T00015470,23,[2025-08-27T11:20:46.111] Gres gpu=111 [2025-08-27T11:20:46.111] Gres=.111gpugpugpugpu=l4,"[2025-09-02T08:20:58.263] Gres Name=gpu Type=l4 Count=1 Flags=HAS_FILE,HAS_TYPE,ENV_NVML,ENV_RSMI,ENV_ONEAPI,ENV_OPENCL,ENV_DEFAULT",gpu_instance_mapping
T00015501,23,<*> POWER: Power save mode: <*> <*> <*> POWER: <*> <*>,[2025-08-28T07:39:15.000] Resetting JobId=802 start time for node power up,node_shutdown_event
T00015530,22,-g6xlarge-3. [2025-08-27T12:58:06.787]g6xlarge-3 [2025-08-27T12:58:06.787] Node gpu-1g-l4-2c-dyg6,[2025-08-27T16:14:01.621] job_signal: 9 of running JobId=801 successful 0x8004,
T00016119,22,[2025-09-01T15:34:06.176]. <*>,[2025-09-01T16:03:06.192] update_node: node cpu-48c-std-dy-c7i24xlarge-9 reason set to: Enabling node since insufficient capacity timeout expired,node_unresponsive
T00016194,22,node <*> <*> <*> [,[2025-09-01T15:58:06.148] update_node: node cpu-48c-std-dy-c7i24xlarge-11 reason set to: Enabling node since insufficient capacity timeout expired,node_unresponsive
T00016369,21,[2025-09-01T16:37:17.003] sched: [2025-09-01T16:37:17.003] [2025-09-01T16:37:17.003] sched: [2025-09-01T16:37:17.003,[2025-09-01T18:26:06.234] update_node: node cpu-48c-std-dy-c7i24xlarge-11 reason set to: Scheduler health check failed,job_failed_event
T00015659,20,[2025-08-28T07:32:45.504] Gres Count=1]4= [2025-08-28T07:32:45.504] Gres=1gpu Type=l4=l4=,"[2025-09-02T14:29:26.590] Gres Name=gpu Type=l4 Count=1 Flags=HAS_FILE,HAS_TYPE,ENV_NVML,ENV_RSMI,ENV_ONEAPI,ENV_OPENCL,ENV_DEFAULT",gpu_instance_mapping
T00016123,20,[2025-09-01T15:34:06.176] power down request repeating for node. power down request repeating for node [2025-09-01T15:34:06.176] [2025-09-01T15:34:06.-::,[2025-09-01T15:38:06.208] power down request repeating for node cpu-48c-std-dy-c7i24xlarge-15,node_shutdown_event
T00016929,19,"[2025-09-02T08:20:58.282] Gres Count=100 [2025-09-02T08:20:58.282] Gresgpugpugpugpugpu,","[2025-09-02T08:20:58.290] Gres Name=gpu Type=l4 Count=1 Flags=HAS_FILE,HAS_TYPE,ENV_NVML,ENV_RSMI,ENV_ONEAPI,ENV_OPENCL,ENV_DEFAULT",gpu_instance_mapping
T00015604,19,[2025-08-28T07:32:38.743] Gres=l40 [2025-08-28T07:32:38.743] Gresgpu743gpugpugpugpu=,"[2025-08-28T07:32:38.757] Gres Name=gpu Type=l4 Count=1 Flags=HAS_FILE,HAS_TYPE,ENV_NVML,ENV_RSMI,ENV_ONEAPI,ENV_OPENCL,ENV_DEFAULT",gpu_instance_mapping
T00015522,19,sched:-dy-g6xlarge-30dy-g6xlarge-3dy-g6xlarge-3gpu #CPUs=40---dy-g6xlarge-3-g,[2025-08-27T13:45:11.824] _slurm_rpc_submit_batch_job: JobId=800 InitPrio=41935 usec=4887,
T00016149,19,[2025-09-01T15:38:06.208]. [2025-09-01T15:38:06.208]:: power down request repeating for node power down request2025-09-01T15:38:06.208]:38.,[2025-09-01T16:03:06.192] update_node: node cpu-48c-std-dy-c7i24xlarge-7 reason set to: Enabling node since insufficient capacity timeout expired,node_unresponsive
T00016866,18,[2025-09-02T08:20:55.889]. power down request [2025-09-02T08:20:55.889]. power down request. [2025-09-02T08:20:55.889,[2025-09-02T08:20:55.889] drain_nodes: node cpu-8c-std-dy-c7i4xlarge-20 state set to DRAIN,node_draining_state
T00015500,18,<*> <*> <*> Resetting <*> start time for node power <*>,[2025-08-27T13:23:18.001] job_time_limit: Configuration for JobId=799 complete,node_shutdown_event
T00015600,18,<*> Gres=l4 <*> Gres <*> Gres=,"[2025-09-03T07:52:09.502] Gres Name=gpu Type=l4 Count=1 Flags=HAS_FILE,HAS_TYPE,ENV_NVML,ENV_RSMI,ENV_ONEAPI,ENV_OPENCL,ENV_DEFAULT",gpu_instance_mapping
T00016134,17,[2025-09-01T15:36:07.003] [2025-09-01T15:36:07.003] [2025-09-01T15:36:07.003] [2025-09-01T15:36:07.003] Resetting JobI,[2025-09-01T18:57:59.894] _job_complete: JobId=864 WEXITSTATUS 1,
T00016232,17,[2025-09-01T16:01:32.909] Requering JobId=863 JobId=863 [2025-09-01T16:01:32.909] Requering JobId=863 JobId=863 [2025-09-01T,[2025-09-01T16:11:22.015] requeue job JobId=872 due to failure of node cpu-48c-std-dy-c7i24xlarge-12,job_failed_event
T00015679,17,[2025-08-28T09:11:53.001] _job_complete: JobId=803 done [2025-08-28T09:11:53.001] [2025-08-28T09:11:53.001] [2025-08-28,[2025-08-28T10:52:21.061] _job_complete: JobId=808 WEXITSTATUS 0,
T00015693,17,"-, instance_name=c7i.8xlarge, instance_size=c7i.8xlarge, instance_type=c7i.8xlarge.0]00:00+00:00 [2025-08-28T10:03:58.624",[2025-08-28T10:17:29.448] Node cpu-16c-std-dy-c7i8xlarge-2 now responding,node_recovered
T00016894,16,power down request repeating for node test-cpu-2c-t3-dy-t3xlarge-4. power down request repeating for node test-t3xlarge-4.-t3xlarge-4. power down request5-09-02,[2025-09-02T08:20:56.730] drain_nodes: node test-gpu-1g-l4-4c-g6-dy-g62xlarge-3 state set to DRAIN,gpu_instance_mapping
T00017254,16,: node <*> [2025-09-03T07:52:06.172] update_node:. [2025-09-03T07:52:06.172] update,[2025-09-03T07:52:06.172] drain_nodes: node cpu-8c-std-dy-c7i4xlarge-19 state set to DRAIN,node_draining_state
T00015328,16,power down request repeating for node. power down request repeating for node gpu-1g-l4-2c-dy-g6xlarge-13.-dy-g6xlarge-13.-dy:55-08-27,[2025-08-27T09:41:14.309] power down request repeating for node test-cpu-2c-t3-dy-t3xlarge-1,node_shutdown_event
T00016282,16,[2025-09-01T16:11:22.015] [2025-09-01T16:11:22.015] [2025-09-01T16:11:22.015] Requering JobId=871 [2025-09-01T16:11:,[2025-09-01T16:54:15.321] update_node: node cpu-48c-std-dy-c7i24xlarge-11 reason set to: (Code:InsufficientInstanceCapacity)Failure when resuming nodes,job_failed_event
T00016254,16,<*> POWER: power_save: waking nodes POWER: power_save: waking nodes <*> <*>,[2025-09-01T16:39:14.853] POWER: no more nodes to resume for job JobId=870,node_shutdown_event
T00016110,15,: node <*> (Code:InsufficientInstanceCapacity) -instances. <*> update_node,[2025-09-01T15:42:06.148] update_node: node cpu-48c-std-dy-c7i24xlarge-7 reason set to: (Code:InsufficientInstanceCapacity)Temporarily disabling node due to insufficient capacity,
T00016111,15,: node <*> <*>,[2025-09-01T15:37:06.146] update_node: node cpu-48c-std-dy-c7i24xlarge-7 reason set to: (Code:InsufficientInstanceCapacity)Temporarily disabling node due to insufficient capacity,
T00016256,15,[2025-09-01T16:06:43.006] [2025-09-01T16:06:43.006] <*> <*>,[2025-09-01T16:25:50.115] update_node: node cpu-48c-std-dy-c7i24xlarge-6 reason set to: (Code:InsufficientInstanceCapacity)Failure when resuming nodes,job_failed_event
T00015807,15,[2025-08-29T08:10:22.521] _slurm_rpc_submit_batch_job: JobId=831 InitPrio=35897 usec=3916 [2025-08-29T08:10:,[2025-09-01T15:34:06.176] powering down node cpu-48c-std-dy-c7i24xlarge-5,node_shutdown_event
T00015502,15,nodesg-l4-4c-dy-g62xlarge-1g-l4-4c-dy-g62xlarge-1g-l4-4c-dy-g62xlarge-1-g62xlarge-1gg62xlarge-1g,[2025-08-27T13:45:27.219] POWER: Power save mode: 208 nodes,node_shutdown_event
T00016886,15,:_node [2025-09-02T08:20:56.262] update_node: node_nodenode-g62xlarge-5_node:5-09:26.262] [202,[2025-09-02T08:20:56.262] update_node: node gpu-1g-l4-4c-dy-g62xlarge-16 reason set to: updating node state during cluster update,gpu_instance_mapping
T00015529,14,job_signal: 9 of running <*> successful 0x8004 job_signal: 9 of running <*> successful 0x8004 job_signal: 9 of running <*> successful 0x8004 job_signal,[2025-08-29T10:37:19.904] _slurm_rpc_kill_job: REQUEST_KILL_JOB JobId=837 uid 1405801148,
T00015594,14,": SchedulerParameters 1 specified more than once, latest value used.::: SchedulerParameters 1 specified more than once, latest value used. [2025-08-28T07:32:38.702] error:: error: Schedule","[2025-08-28T07:32:45.448] error: PrivateData 1 specified more than once, latest value used",node_error_event
T00015343,14,[2025-08-27T09:41:14.183] power down request repeating for node. power down request repeating for node-dy-g6xlarge-35. power down request repeating for node power down request repeating for,[2025-08-27T09:41:14.183] power down request repeating for node gpu-1g-l4-2c-dy-g6xlarge-36,gpu_instance_mapping
T00015336,14,<*> power down request repeating for node. power down request repeating for <*> power down <*>,[2025-08-27T09:41:14.215] update_node: node gpu-1g-l4-4c-dy-g62xlarge-23 reason set to: stopping cluster,gpu_instance_mapping
T00016154,13,node cpu-48c-std-dy-c7i24xlarge-13 reason set to: Enabling node since insufficient capacity timeout expired.-c7i24xlarge-13. [2025-09-01T15:38:06.,[2025-09-01T15:48:06.149] update_node: node cpu-48c-std-dy-c7i24xlarge-7 reason set to: Enabling node since insufficient capacity timeout expired,node_unresponsive
T00015491,13,<*> <*> <*> Resetting <*> start time for node power,[2025-08-28T09:06:15.001] job_time_limit: Configuration for JobId=803 complete,node_shutdown_event
T00015882,13,[2025-08-30T00:01:07.210] [2025-08-30T00:01:07.210] [2025-08-30T00:01:07.210] [2025-08-30T00:01:07.210] [2025-08-30T00:01:07.,[2025-08-30T17:04:07.507] POWER: Power save mode: 208 nodes,node_shutdown_event
T00016277,13,[2025-09-01T16:11:20.650] [POWER: no more nodes to resume for job POWER: no more nodes to resume for job8725-09-01T16:11:20.650] POWER: no more nodes to resume for,[2025-09-01T16:25:48.753] POWER: no more nodes to resume for job JobId=868,node_shutdown_event
T00015458,13,"MpiDefault 1 specified more than once, latest value used. [2025-08-27T11:20:46.071] error: MpiDefault 1 specified more than once, latest value used.","[2025-08-28T07:32:38.702] error: MinJobAge 1 specified more than once, latest value used",node_error_event
T00016112,13,: node <*> (Code:InsufficientInstanceCapacity).:06.188] [2025-09-01T15:33:06.188] update_node:,[2025-09-01T16:07:06.149] update_node: node cpu-48c-std-dy-c7i24xlarge-13 reason set to: (Code:InsufficientInstanceCapacity)Temporarily disabling node due to insufficient capacity,
T00015391,13,::: <*> select/cons_tres: preparing for 12 partitions <*> select/cons_tres: <*>,[2025-08-27T11:05:14.263] select/cons_tres: select_p_reconfigure: select/cons_tres: reconfigure,
T00016923,13,[2025-09-02T08:20:58.266] Gres Count=1660 [2025-09-02T08:20:58.266] Gres [2025-09-02T08:20:58.266],"[2025-09-02T08:20:58.283] Gres Name=gpu Type=l4 Count=1 Flags=HAS_FILE,HAS_TYPE,ENV_NVML,ENV_RSMI,ENV_ONEAPI,ENV_OPENCL,ENV_DEFAULT",gpu_instance_mapping
T00015477,12,<*> Gres Count=40 <*> Gres=.gpugpugpugpugpu=,"[2025-08-28T07:32:38.737] Gres Name=gpu Type=l4 Count=1 Flags=HAS_FILE,HAS_TYPE,ENV_NVML,ENV_RSMI,ENV_ONEAPI,ENV_OPENCL,ENV_DEFAULT",gpu_instance_mapping
T00015723,12,[2025-08-28T10:52:31.005] sched: [2025-08-28T10:52:31.005]-dy-g62xlarge-1dy0 sched:00 sched,[2025-08-28T16:29:12.387] _job_complete: JobId=823 done,
T00015277,12,<*> <*> node <*> reason set to: <*> <*> <*>,[2025-08-27T09:41:14.215] power down request repeating for node gpu-1g-l4-4c-dy-g62xlarge-27,gpu_instance_mapping
T00016927,12,[2025-09-02T08:20:58.279] Gres Count=10279 [2025-09-02T08:20:58.279] Gresgpugpugpugpugpu,"[2025-09-02T08:20:58.284] Gres Name=gpu Type=l4 Count=1 Flags=HAS_FILE,HAS_TYPE,ENV_NVML,ENV_RSMI,ENV_ONEAPI,ENV_OPENCL,ENV_DEFAULT",gpu_instance_mapping
T00016195,12,[2025-09-01T15:48:06.149] for node power down request:48:06.::: [2025-09-01T15:48:06.149]:48.5-09-01T15:48:06.149.,[2025-09-01T15:58:06.148] update_node: node cpu-48c-std-dy-c7i24xlarge-9 reason set to: Enabling node since insufficient capacity timeout expired,node_unresponsive
T00016226,12,[2025-09-01T15:58:06.148]. [2025-09-01T15:58:06.148]:::: <*>,[2025-09-01T16:59:06.194] power down request repeating for node cpu-48c-std-dy-c7i24xlarge-19,node_shutdown_event
T00015492,12,JobId=791 job_signal: 9 of running JobId=791 successful 0x8004 JobId=791 successful 0x8004 JobId=791 successful 0x8004 JobId=791 successful 0x8004 JobI,[2025-08-27T13:23:18.001] Resetting JobId=799 start time for node power up,node_shutdown_event
T00016980,11,<*> Gres Count=1.4 <*> <*>,"[2025-09-03T07:52:09.518] Gres Name=gpu Type=l4 Count=1 Flags=HAS_FILE,HAS_TYPE,ENV_NVML,ENV_RSMI,ENV_ONEAPI,ENV_OPENCL,ENV_DEFAULT",gpu_instance_mapping
T00015318,11,gpu-1g-l4-2c-dy-g6xlarge-3 node node-gpu-1g-l4-2c-dy-g6xlarge-3gpu-1g-l4-2c-dy-g6xlarge,[2025-08-27T09:41:14.182] power down request repeating for node gpu-1g-l4-2c-dy-g6xlarge-24,gpu_instance_mapping
T00016168,11,node:-c7i24xlarge-7 reason set to: Enabling node since insufficient capacity timeout expired.. [2025-09-01T15:43:06.201] update_node: node cpu-48c-std,[2025-09-01T15:53:06.191] powering down node cpu-48c-std-dy-c7i24xlarge-6,node_shutdown_event
T00016286,11,[2025-09-01T16:13:22.022] error: unable to split forward hostlist forward [2025-09-01T16:13:22.022] hostlist. [2025-09-01T16:13:22.022] hostlist. [2025-09-01T,[2025-09-01T16:18:06.189] update_node: node cpu-48c-std-dy-c7i24xlarge-10 reason set to: Enabling node since insufficient capacity timeout expired,node_unresponsive
T00016156,11,-[5-20] POWER: power_save: suspending nodes POWER: power_save: suspending nodes: [5-20] POWER: power_save: suspending nodes POWER: power_save: suspending,[2025-09-01T15:43:06.201] power down request repeating for node cpu-48c-std-dy-c7i24xlarge-9,
T00016159,11,: POWER: no more nodes to resume for <*> <*> POWER: no more nodes to resume for job: no more nodes to resume for <*>,[2025-09-01T16:47:17.001] sched: Allocate JobId=868 NodeList=cpu-48c-std-dy-c7i24xlarge-14 #CPUs=48 Partition=cpu-48c-std,
T00015662,10,<*> Gres <*> <*> Gres=gpugpugpugpugpu=,"[2025-09-02T08:21:05.200] Gres Name=gpu Type=l4 Count=1 Flags=HAS_FILE,HAS_TYPE,ENV_NVML,ENV_RSMI,ENV_ONEAPI,ENV_OPENCL,ENV_DEFAULT",gpu_instance_mapping
T00016116,10,[2025-09-01T15:34:04.715] _job_complete: JobId=859 done [2025-09-01T15:34:04.715] _job_complete: JobId=859 [2025-09-01T15:34:04.,[2025-09-01T15:36:18.485] _job_complete: JobId=858 WEXITSTATUS 1,
