dataset,message,level,component,template
OpenSSH_2k,Dec 10 07:28:37 LabSZ sshd[24275]: pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=112.95.230.3  user=root,,sshd,<IP> <NUM> <UUID> <PATH> <HEX> <DATE> <TIME> <MS> <HOST>
OpenSSH_2k,Dec 10 10:55:56 LabSZ sshd[24964]: Failed password for invalid user 123 from 183.62.140.253 port 49870 ssh2,,sshd,<IP>
OpenSSH_2k,Dec 10 09:45:06 LabSZ sshd[24680]: pam_unix(sshd:session): session closed for user fztu,,sshd,<NUM>-12-10 09:45:06.<NUM> +0
OpenSSH_2k,Dec 10 09:17:58 LabSZ sshd[24624]: pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=187.141.143.180  user=git,,sshd,<IP> <NUM> <UUID> <PATH> <HEX> <DATE> <TIME> <MS> <HOST>
OpenSSH_2k,Dec 10 07:13:56 LabSZ sshd[24227]: message repeated 5 times: [ Failed password for root from 5.36.59.76 port 42393 ssh2],,sshd,<IP> <NUM> <UUID> <PATH> <HEX> <DATE> <TIME> <MS> <HOST>
OpenSSH_2k,Dec 10 09:15:07 LabSZ sshd[24557]: pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=187.141.143.180  user=root,,sshd,<IP> <NUM> <UUID> <PATH> <HEX> <DATE> <TIME> <MS> <HOST>
OpenSSH_2k,Dec 10 09:20:02 LabSZ sshd[24673]: Failed password for invalid user cyrus from 187.141.143.180 port 33574 ssh2,,sshd,<IP> <NUM> <UUID> <PATH> <HEX> <DATE> <TIME> <MS> <HOST>
OpenSSH_2k,Dec 10 09:13:53 LabSZ sshd[24529]: pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=187.141.143.180  user=root,,sshd,<IP> <NUM> <UUID> <PATH> <HEX> <DATE> <TIME> <MS> <HOST>
OpenSSH_2k,Dec 10 09:19:32 LabSZ sshd[24663]: reverse mapping checking getaddrinfo for customer-187-141-143-180-sta.uninet-ide.com.mx [187.141.143.180] failed - POSSIBLE BREAK-IN ATTEMPT!,,sshd,reverse mapping checking getaddrinfo for customer-<NUM>-<NUM>-<NUM>-<NUM>-sta.uninet-ide.
OpenSSH_2k,Dec 10 10:55:05 LabSZ sshd[24909]: Failed password for root from 183.62.140.253 port 40213 ssh2,,sshd,<IP> <NUM> <UUID> <PATH> <HEX> <DATE> <TIME> <MS> <HOST>
OpenSSH_2k,Dec 10 09:12:15 LabSZ sshd[24477]: Failed password for root from 103.99.0.122 port 59841 ssh2,,sshd,<IP> <NUM> <UUID> <PATH> <HEX> <DATE> <TIME> <MS> <HOST>
OpenSSH_2k,Dec 10 11:00:56 LabSZ sshd[25286]: Received disconnect from 183.62.140.253: 11: Bye Bye [preauth],,sshd,<IP> <NUM> <UUID> <PATH> <HEX> <DATE> <TIME> <MS> <HOST>
OpenSSH_2k,Dec 10 10:57:15 LabSZ sshd[25045]: Failed password for root from 183.62.140.253 port 36644 ssh2,,sshd,<IP> <NUM> <UUID> <PATH> <HEX> <DATE> <TIME> <MS> <HOST>
OpenSSH_2k,Dec 10 10:55:02 LabSZ sshd[24907]: Received disconnect from 183.62.140.253: 11: Bye Bye [preauth],,sshd,<IP> <NUM> <UUID> <PATH> <HEX> <DATE> <TIME> <MS> <HOST>
OpenSSH_2k,Dec 10 08:26:09 LabSZ sshd[24377]: pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=5.188.10.180  user=ftp,,sshd,<IP> <NUM> <UUID> <PATH> <HEX> <DATE> <TIME> <MS> <HOST>
OpenSSH_2k,Dec 10 07:34:00 LabSZ sshd[24291]: Failed password for root from 123.235.32.19 port 45568 ssh2,,sshd,<IP> <NUM> <UUID> <PATH> <HEX> <DATE> <TIME> <MS> <HOST>
OpenSSH_2k,Dec 10 11:04:16 LabSZ sshd[25497]: Received disconnect from 183.62.140.253: 11: Bye Bye [preauth],,sshd,<IP> <NUM> <UUID> <PATH> <HEX> <DATE> <TIME> <MS> <HOST>
OpenSSH_2k,Dec 10 08:26:03 LabSZ sshd[24375]: Failed password for invalid user default from 5.188.10.180 port 41538 ssh2,,sshd,<IP> <NUM> <UUID> <PATH> <HEX> <DATE> <TIME> <MS> <HOST>
OpenSSH_2k,Dec 10 09:14:11 LabSZ sshd[24535]: Failed password for root from 187.141.143.180 port 52176 ssh2,,sshd,<IP> <NUM> <UUID> <PATH> <HEX> <DATE> <TIME> <MS> <HOST>
OpenSSH_2k,Dec 10 11:00:28 LabSZ sshd[25255]: pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=183.62.140.253  user=root,,sshd,<IP> <NUM> <UUID> <PATH> <HEX> <DATE> <TIME> <MS> <HOST>
OpenSSH_2k,Dec 10 09:18:28 LabSZ sshd[24634]: Invalid user deploy from 187.141.143.180,,sshd,<IP> <NUM> <UUID> <PATH> <HEX> <DATE> <TIME> <MS> <HOST>
OpenSSH_2k,Dec 10 09:12:40 LabSZ sshd[24499]: pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=103.99.0.122  user=root,,sshd,<IP> <NUM> <UUID> <PATH> <HEX> <DATE> <TIME> <MS> <HOST>
OpenSSH_2k,Dec 10 09:19:09 LabSZ sshd[24655]: pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=187.141.143.180,,sshd,<IP> <NUM> <UUID> <PATH> <HEX> <DATE> <TIME> <MS> <HOST>
OpenSSH_2k,Dec 10 07:28:18 LabSZ sshd[24257]: Failed password for root from 112.95.230.3 port 35113 ssh2,,sshd,<IP> <NUM> <UUID> <PATH> <HEX> <DATE> <TIME> <MS> <HOST>
OpenSSH_2k,Dec 10 11:00:56 LabSZ sshd[25286]: Failed password for root from 183.62.140.253 port 50655 ssh2,,sshd,<IP> <NUM> <UUID> <PATH> <HEX> <DATE> <TIME> <MS> <HOST>
OpenSSH_2k,Dec 10 11:00:04 LabSZ sshd[25229]: pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=183.62.140.253  user=root,,sshd,<IP> <NUM> <UUID> <PATH> <HEX> <DATE> <TIME> <MS> <HOST>
OpenSSH_2k,Dec 10 08:25:58 LabSZ sshd[24375]: pam_unix(sshd:auth): check pass; user unknown,,sshd,<NUM>-12-10 08:25:58. LabSZ sshd [PAM] Authentication successful
OpenSSH_2k,Dec 10 10:59:11 LabSZ sshd[25167]: Received disconnect from 183.62.140.253: 11: Bye Bye [preauth],,sshd,<IP> <NUM> <UUID> <PATH> <HEX> <DATE> <TIME> <MS> <HOST>
OpenSSH_2k,Dec 10 08:25:10 LabSZ sshd[24369]: pam_unix(sshd:auth): check pass; user unknown,,sshd,<NUM>-12-10 08:25:10. LabSZ sshd [PAM] Authentication successful
OpenSSH_2k,Dec 10 09:19:34 LabSZ sshd[24663]: Failed password for git from 187.141.143.180 port 53992 ssh2,,sshd,<IP>
OpenSSH_2k,Dec 10 11:02:21 LabSZ sshd[25378]: Received disconnect from 183.62.140.253: 11: Bye Bye [preauth],,sshd,<IP> <NUM> <UUID> <PATH> <HEX> <DATE> <TIME> <MS> <HOST>
OpenSSH_2k,Dec 10 10:56:40 LabSZ sshd[25012]: pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=183.62.140.253  user=root,,sshd,<IP> <NUM> <UUID> <PATH> <HEX> <DATE> <TIME> <MS> <HOST>
OpenSSH_2k,Dec 10 11:01:50 LabSZ sshd[25346]: Received disconnect from 183.62.140.253: 11: Bye Bye [preauth],,sshd,<IP> <NUM> <UUID> <PATH> <HEX> <DATE> <TIME> <MS> <HOST>
OpenSSH_2k,Dec 10 10:55:58 LabSZ sshd[24966]: Failed password for root from 183.62.140.253 port 50263 ssh2,,sshd,<IP> <NUM> <UUID> <PATH> <HEX> <DATE> <TIME> <MS> <HOST>
OpenSSH_2k,Dec 10 09:11:29 LabSZ sshd[24445]: pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=103.99.0.122  user=root,,sshd,<IP> <NUM> <UUID> <PATH> <HEX> <DATE> <TIME> <MS> <HOST>
OpenSSH_2k,Dec 10 10:59:27 LabSZ sshd[25184]: Failed password for root from 183.62.140.253 port 33635 ssh2,,sshd,<IP> <NUM> <UUID> <PATH> <HEX> <DATE> <TIME> <MS> <HOST>
OpenSSH_2k,Dec 10 09:16:14 LabSZ sshd[24581]: Received disconnect from 187.141.143.180: 11: Bye Bye [preauth],,sshd,<IP> <NUM> <UUID> <PATH> <HEX> <DATE> <TIME> <MS> <HOST>
OpenSSH_2k,Dec 10 11:01:01 LabSZ sshd[25291]: Received disconnect from 183.62.140.253: 11: Bye Bye [preauth],,sshd,<IP> <NUM> <UUID> <PATH> <HEX> <DATE> <TIME> <MS> <HOST>
OpenSSH_2k,Dec 10 10:55:07 LabSZ sshd[24914]: pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=202.100.179.208,,sshd,<IP> <NUM> <UUID> <PATH> <HEX> <DATE> <TIME> <MS> <HOST>
OpenSSH_2k,Dec 10 11:04:40 LabSZ sshd[25537]: pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=183.62.140.253  user=root,,sshd,<IP> <NUM> <UUID> <PATH> <HEX> <DATE> <TIME> <MS> <HOST>
OpenSSH_2k,Dec 10 11:03:40 LabSZ sshd[25448]: error: Received disconnect from 103.99.0.122: 14: No more user authentication methods available. [preauth],,sshd,<IP> <NUM> <UUID> <PATH> <HEX> <DATE> <TIME> <MS> <HOST>
OpenSSH_2k,Dec 10 10:13:59 LabSZ sshd[24833]: pam_unix(sshd:auth): check pass; user unknown,,sshd,<IP> - - [10/Dec/<NUM>:10:13:
OpenSSH_2k,Dec 10 10:59:53 LabSZ sshd[25214]: Failed password for root from 183.62.140.253 port 38693 ssh2,,sshd,<IP> <NUM> <UUID> <PATH> <HEX> <DATE> <TIME> <MS> <HOST>
OpenSSH_2k,Dec 10 07:28:47 LabSZ sshd[24283]: pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=112.95.230.3  user=root,,sshd,<IP> <NUM> <UUID> <PATH> <HEX> <DATE> <TIME> <MS> <HOST>
OpenSSH_2k,Dec 10 10:59:35 LabSZ sshd[25195]: pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=183.62.140.253  user=root,,sshd,<IP> <NUM> <UUID> <PATH> <HEX> <DATE> <TIME> <MS> <HOST>
OpenSSH_2k,Dec 10 10:59:12 LabSZ sshd[25169]: Received disconnect from 183.62.140.253: 11: Bye Bye [preauth],,sshd,<IP> <NUM> <UUID> <PATH> <HEX> <DATE> <TIME> <MS> <HOST>
OpenSSH_2k,Dec 10 09:11:41 LabSZ sshd[24453]: pam_unix(sshd:auth): check pass; user unknown,,sshd,<NUM>-12-10 09:11:41.<NUM> +0
OpenSSH_2k,Dec 10 10:58:33 LabSZ sshd[25127]: Failed password for root from 183.62.140.253 port 51538 ssh2,,sshd,<IP> <NUM> <UUID> <PATH> <HEX> <DATE> <TIME> <MS> <HOST>
OpenSSH_2k,Dec 10 10:54:47 LabSZ sshd[24888]: Received disconnect from 183.62.140.253: 11: Bye Bye [preauth],,sshd,<IP> <NUM> <UUID> <PATH> <HEX> <DATE> <TIME> <MS> <HOST>
OpenSSH_2k,Dec 10 09:17:28 LabSZ sshd[24612]: Received disconnect from 187.141.143.180: 11: Bye Bye [preauth],,sshd,<IP> <NUM> <UUID> <PATH> <HEX> <DATE> <TIME> <MS> <HOST>
OpenSSH_2k,Dec 10 09:10:06 LabSZ sshd[24421]: Failed password for invalid user admin from 185.190.58.151 port 41650 ssh2,,sshd,<IP> <NUM> <UUID> <PATH> <HEX> <DATE> <TIME> <MS> <HOST>
OpenSSH_2k,Dec 10 11:01:02 LabSZ sshd[25294]: Failed password for root from 183.62.140.253 port 51830 ssh2,,sshd,<IP> <NUM> <UUID> <PATH> <HEX> <DATE> <TIME> <MS> <HOST>
OpenSSH_2k,Dec 10 09:17:52 LabSZ sshd[24622]: pam_unix(sshd:auth): check pass; user unknown,,sshd,<NUM>-12-10 09:17:52. LabSZ sshd [PAM] Authentication successful
OpenSSH_2k,Dec 10 09:11:33 LabSZ sshd[24437]: pam_unix(sshd:auth): check pass; user unknown,,sshd,<NUM>-12-10 09:11:33.<NUM> +0
OpenSSH_2k,Dec 10 11:03:21 LabSZ sshd[25434]: Received disconnect from 183.62.140.253: 11: Bye Bye [preauth],,sshd,<IP> <NUM> <UUID> <PATH> <HEX> <DATE> <TIME> <MS> <HOST>
