dataset,line_no,timestamp,level,component,message,template
Apache_2k,33,,,Sun,[Sun Dec 04 04:52:52 2005] [error] mod_jk child workerEnv in error state 7,[Sun Dec 04 04:52:52 <NUM>] [error] mod_jk child workerEnv in error state 7
Apache_2k,34,,,Sun,[Sun Dec 04 04:52:52 2005] [error] mod_jk child workerEnv in error state 6,[Sun Dec 04 04:52:52 <NUM>] [error] mod_jk child workerEnv in error state 6
Apache_2k,35,,,Sun,[Sun Dec 04 04:53:05 2005] [notice] jk2_init() Found child 6750 in scoreboard slot 7,[Sun Dec 04 04:53:05 <NUM>] [notice] jk2_init() Found child <NUM> in scoreboard slot 7
Apache_2k,36,,,Sun,[Sun Dec 04 04:53:05 2005] [notice] jk2_init() Found child 6751 in scoreboard slot 9,[Sun Dec 04 04:53:05 <NUM>] [notice] jk2_init() Found child <NUM> in scoreboard slot 9
Apache_2k,37,,,Sun,[Sun Dec 04 04:53:05 2005] [notice] jk2_init() Found child 6752 in scoreboard slot 10,[Sun Dec 04 04:53:05 <NUM>] [notice] jk2_init() Found child <NUM> in scoreboard slot 10
Apache_2k,38,,,Sun,[Sun Dec 04 04:53:15 2005] [notice] workerEnv.init() ok /etc/httpd/conf/workers2.properties,[Sun Dec 04 04:53:15 <NUM>] [notice] workerEnv.init() ok <PATH>
Apache_2k,39,,,Sun,[Sun Dec 04 04:53:15 2005] [notice] workerEnv.init() ok /etc/httpd/conf/workers2.properties,[Sun Dec 04 04:53:15 <NUM>] [notice] workerEnv.init() ok <PATH>
Apache_2k,40,,,Sun,[Sun Dec 04 04:53:16 2005] [error] mod_jk child workerEnv in error state 7,[Sun Dec 04 04:53:16 <NUM>] [error] mod_jk child workerEnv in error state 7
Apache_2k,41,,,Sun,[Sun Dec 04 04:53:16 2005] [error] mod_jk child workerEnv in error state 6,[Sun Dec 04 04:53:16 <NUM>] [error] mod_jk child workerEnv in error state 6
Apache_2k,42,,,Sun,[Sun Dec 04 04:53:29 2005] [notice] jk2_init() Found child 6754 in scoreboard slot 8,[Sun Dec 04 04:53:29 <NUM>] [notice] jk2_init() Found child <NUM> in scoreboard slot 8
Apache_2k,43,,,Sun,[Sun Dec 04 04:53:29 2005] [notice] jk2_init() Found child 6755 in scoreboard slot 6,[Sun Dec 04 04:53:29 <NUM>] [notice] jk2_init() Found child <NUM> in scoreboard slot 6
Apache_2k,44,,,Sun,[Sun Dec 04 04:53:40 2005] [notice] jk2_init() Found child 6756 in scoreboard slot 7,[Sun Dec 04 04:53:40 <NUM>] [notice] jk2_init() Found child <NUM> in scoreboard slot 7
Apache_2k,45,,,Sun,[Sun Dec 04 04:53:51 2005] [notice] workerEnv.init() ok /etc/httpd/conf/workers2.properties,[Sun Dec 04 04:53:51 <NUM>] [notice] workerEnv.init() ok <PATH>
Apache_2k,46,,,Sun,[Sun Dec 04 04:53:54 2005] [error] mod_jk child workerEnv in error state 7,[Sun Dec 04 04:53:54 <NUM>] [error] mod_jk child workerEnv in error state 7
Apache_2k,47,,,Sun,[Sun Dec 04 04:54:15 2005] [notice] jk2_init() Found child 6763 in scoreboard slot 10,[Sun Dec 04 04:54:15 <NUM>] [notice] jk2_init() Found child <NUM> in scoreboard slot 10
Apache_2k,48,,,Sun,[Sun Dec 04 04:54:15 2005] [notice] jk2_init() Found child 6766 in scoreboard slot 6,[Sun Dec 04 04:54:15 <NUM>] [notice] jk2_init() Found child <NUM> in scoreboard slot 6
Apache_2k,49,,,Sun,[Sun Dec 04 04:54:15 2005] [notice] jk2_init() Found child 6767 in scoreboard slot 7,[Sun Dec 04 04:54:15 <NUM>] [notice] jk2_init() Found child <NUM> in scoreboard slot 7
Apache_2k,50,,,Sun,[Sun Dec 04 04:54:15 2005] [notice] jk2_init() Found child 6765 in scoreboard slot 8,[Sun Dec 04 04:54:15 <NUM>] [notice] jk2_init() Found child <NUM> in scoreboard slot 8
Apache_2k,51,,,Sun,[Sun Dec 04 04:54:18 2005] [notice] workerEnv.init() ok /etc/httpd/conf/workers2.properties,[Sun Dec 04 04:54:18 <NUM>] [notice] workerEnv.init() ok <PATH>
Apache_2k,52,,,Sun,[Sun Dec 04 04:54:18 2005] [notice] workerEnv.init() ok /etc/httpd/conf/workers2.properties,[Sun Dec 04 04:54:18 <NUM>] [notice] workerEnv.init() ok <PATH>
Apache_2k,53,,,Sun,[Sun Dec 04 04:54:18 2005] [notice] workerEnv.init() ok /etc/httpd/conf/workers2.properties,[Sun Dec 04 04:54:18 <NUM>] [notice] workerEnv.init() ok <PATH>
Apache_2k,54,,,Sun,[Sun Dec 04 04:54:18 2005] [notice] workerEnv.init() ok /etc/httpd/conf/workers2.properties,[Sun Dec 04 04:54:18 <NUM>] [notice] workerEnv.init() ok <PATH>
Apache_2k,55,,,Sun,[Sun Dec 04 04:54:18 2005] [error] mod_jk child workerEnv in error state 6,[Sun Dec 04 04:54:18 <NUM>] [error] mod_jk child workerEnv in error state 6
Apache_2k,56,,,Sun,[Sun Dec 04 04:54:18 2005] [error] mod_jk child workerEnv in error state 6,[Sun Dec 04 04:54:18 <NUM>] [error] mod_jk child workerEnv in error state 6
Apache_2k,57,,,Sun,[Sun Dec 04 04:54:18 2005] [error] mod_jk child workerEnv in error state 7,[Sun Dec 04 04:54:18 <NUM>] [error] mod_jk child workerEnv in error state 7
Apache_2k,58,,,Sun,[Sun Dec 04 04:54:18 2005] [error] mod_jk child workerEnv in error state 7,[Sun Dec 04 04:54:18 <NUM>] [error] mod_jk child workerEnv in error state 7
Apache_2k,59,,,Sun,[Sun Dec 04 04:54:20 2005] [notice] jk2_init() Found child 6768 in scoreboard slot 9,[Sun Dec 04 04:54:20 <NUM>] [notice] jk2_init() Found child <NUM> in scoreboard slot 9
Apache_2k,60,,,Sun,[Sun Dec 04 04:54:20 2005] [notice] workerEnv.init() ok /etc/httpd/conf/workers2.properties,[Sun Dec 04 04:54:20 <NUM>] [notice] workerEnv.init() ok <PATH>
Apache_2k,61,,,Sun,[Sun Dec 04 04:54:20 2005] [error] mod_jk child workerEnv in error state 6,[Sun Dec 04 04:54:20 <NUM>] [error] mod_jk child workerEnv in error state 6
Apache_2k,62,,,Sun,[Sun Dec 04 04:56:52 2005] [notice] jk2_init() Found child 8527 in scoreboard slot 10,[Sun Dec 04 04:56:52 <NUM>] [notice] jk2_init() Found child <NUM> in scoreboard slot 10
Apache_2k,63,,,Sun,[Sun Dec 04 04:56:52 2005] [notice] jk2_init() Found child 8533 in scoreboard slot 8,[Sun Dec 04 04:56:52 <NUM>] [notice] jk2_init() Found child <NUM> in scoreboard slot 8
Apache_2k,64,,,Sun,[Sun Dec 04 04:56:57 2005] [notice] workerEnv.init() ok /etc/httpd/conf/workers2.properties,[Sun Dec 04 04:56:57 <NUM>] [notice] workerEnv.init() ok <PATH>
Apache_2k,65,,,Sun,[Sun Dec 04 04:56:57 2005] [notice] workerEnv.init() ok /etc/httpd/conf/workers2.properties,[Sun Dec 04 04:56:57 <NUM>] [notice] workerEnv.init() ok <PATH>
Apache_2k,66,,,Sun,[Sun Dec 04 04:56:59 2005] [error] mod_jk child workerEnv in error state 6,[Sun Dec 04 04:56:59 <NUM>] [error] mod_jk child workerEnv in error state 6
Apache_2k,67,,,Sun,[Sun Dec 04 04:57:00 2005] [error] mod_jk child workerEnv in error state 6,[Sun Dec 04 04:57:00 <NUM>] [error] mod_jk child workerEnv in error state 6
Apache_2k,68,,,Sun,[Sun Dec 04 04:57:20 2005] [notice] jk2_init() Found child 8536 in scoreboard slot 6,[Sun Dec 04 04:57:20 <NUM>] [notice] jk2_init() Found child <NUM> in scoreboard slot 6
Apache_2k,69,,,Sun,[Sun Dec 04 04:57:20 2005] [notice] jk2_init() Found child 8539 in scoreboard slot 7,[Sun Dec 04 04:57:20 <NUM>] [notice] jk2_init() Found child <NUM> in scoreboard slot 7
Apache_2k,70,,,Sun,[Sun Dec 04 04:57:24 2005] [notice] workerEnv.init() ok /etc/httpd/conf/workers2.properties,[Sun Dec 04 04:57:24 <NUM>] [notice] workerEnv.init() ok <PATH>
Apache_2k,71,,,Sun,[Sun Dec 04 04:57:24 2005] [notice] workerEnv.init() ok /etc/httpd/conf/workers2.properties,[Sun Dec 04 04:57:24 <NUM>] [notice] workerEnv.init() ok <PATH>
Apache_2k,72,,,Sun,[Sun Dec 04 04:57:24 2005] [error] mod_jk child workerEnv in error state 6,[Sun Dec 04 04:57:24 <NUM>] [error] mod_jk child workerEnv in error state 6
Apache_2k,73,,,Sun,[Sun Dec 04 04:57:24 2005] [error] mod_jk child workerEnv in error state 6,[Sun Dec 04 04:57:24 <NUM>] [error] mod_jk child workerEnv in error state 6
Apache_2k,74,,,Sun,[Sun Dec 04 04:57:49 2005] [notice] jk2_init() Found child 8541 in scoreboard slot 9,[Sun Dec 04 04:57:49 <NUM>] [notice] jk2_init() Found child <NUM> in scoreboard slot 9
Apache_2k,75,,,Sun,[Sun Dec 04 04:58:11 2005] [notice] workerEnv.init() ok /etc/httpd/conf/workers2.properties,[Sun Dec 04 04:58:11 <NUM>] [notice] workerEnv.init() ok <PATH>
Apache_2k,76,,,Sun,[Sun Dec 04 04:58:18 2005] [error] mod_jk child workerEnv in error state 6,[Sun Dec 04 04:58:18 <NUM>] [error] mod_jk child workerEnv in error state 6
Apache_2k,77,,,Sun,[Sun Dec 04 04:58:45 2005] [notice] jk2_init() Found child 8547 in scoreboard slot 10,[Sun Dec 04 04:58:45 <NUM>] [notice] jk2_init() Found child <NUM> in scoreboard slot 10
Apache_2k,78,,,Sun,[Sun Dec 04 04:58:57 2005] [notice] workerEnv.init() ok /etc/httpd/conf/workers2.properties,[Sun Dec 04 04:58:57 <NUM>] [notice] workerEnv.init() ok <PATH>
Apache_2k,79,,,Sun,[Sun Dec 04 04:58:58 2005] [error] mod_jk child workerEnv in error state 6,[Sun Dec 04 04:58:58 <NUM>] [error] mod_jk child workerEnv in error state 6
Apache_2k,80,,,Sun,[Sun Dec 04 04:59:28 2005] [notice] jk2_init() Found child 8554 in scoreboard slot 6,[Sun Dec 04 04:59:28 <NUM>] [notice] jk2_init() Found child <NUM> in scoreboard slot 6
Apache_2k,81,,,Sun,[Sun Dec 04 04:59:27 2005] [notice] jk2_init() Found child 8553 in scoreboard slot 8,[Sun Dec 04 04:59:27 <NUM>] [notice] jk2_init() Found child <NUM> in scoreboard slot 8
Apache_2k,82,,,Sun,[Sun Dec 04 04:59:35 2005] [notice] workerEnv.init() ok /etc/httpd/conf/workers2.properties,[Sun Dec 04 04:59:35 <NUM>] [notice] workerEnv.init() ok <PATH>
Apache_2k,83,,,Sun,[Sun Dec 04 04:59:35 2005] [notice] workerEnv.init() ok /etc/httpd/conf/workers2.properties,[Sun Dec 04 04:59:35 <NUM>] [notice] workerEnv.init() ok <PATH>
Apache_2k,84,,,Sun,[Sun Dec 04 04:59:38 2005] [error] mod_jk child workerEnv in error state 6,[Sun Dec 04 04:59:38 <NUM>] [error] mod_jk child workerEnv in error state 6
Apache_2k,85,,,Sun,[Sun Dec 04 04:59:38 2005] [error] mod_jk child workerEnv in error state 6,[Sun Dec 04 04:59:38 <NUM>] [error] mod_jk child workerEnv in error state 6
Apache_2k,86,,,Sun,[Sun Dec 04 05:00:03 2005] [notice] jk2_init() Found child 8560 in scoreboard slot 7,[Sun Dec 04 05:00:03 <NUM>] [notice] jk2_init() Found child <NUM> in scoreboard slot 7
Apache_2k,87,,,Sun,[Sun Dec 04 05:00:09 2005] [notice] workerEnv.init() ok /etc/httpd/conf/workers2.properties,[Sun Dec 04 05:00:09 <NUM>] [notice] workerEnv.init() ok <PATH>
Apache_2k,88,,,Sun,[Sun Dec 04 05:00:09 2005] [error] mod_jk child workerEnv in error state 6,[Sun Dec 04 05:00:09 <NUM>] [error] mod_jk child workerEnv in error state 6
Apache_2k,89,,,Sun,[Sun Dec 04 05:00:13 2005] [notice] jk2_init() Found child 8565 in scoreboard slot 9,[Sun Dec 04 05:00:13 <NUM>] [notice] jk2_init() Found child <NUM> in scoreboard slot 9
Apache_2k,90,,,Sun,[Sun Dec 04 05:00:13 2005] [notice] jk2_init() Found child 8573 in scoreboard slot 10,[Sun Dec 04 05:00:13 <NUM>] [notice] jk2_init() Found child <NUM> in scoreboard slot 10
Apache_2k,91,,,Sun,[Sun Dec 04 05:00:15 2005] [notice] workerEnv.init() ok /etc/httpd/conf/workers2.properties,[Sun Dec 04 05:00:15 <NUM>] [notice] workerEnv.init() ok <PATH>
Apache_2k,92,,,Sun,[Sun Dec 04 05:00:15 2005] [error] mod_jk child workerEnv in error state 6,[Sun Dec 04 05:00:15 <NUM>] [error] mod_jk child workerEnv in error state 6
Apache_2k,93,,,Sun,[Sun Dec 04 05:00:15 2005] [notice] workerEnv.init() ok /etc/httpd/conf/workers2.properties,[Sun Dec 04 05:00:15 <NUM>] [notice] workerEnv.init() ok <PATH>
Apache_2k,94,,,Sun,[Sun Dec 04 05:00:15 2005] [error] mod_jk child workerEnv in error state 6,[Sun Dec 04 05:00:15 <NUM>] [error] mod_jk child workerEnv in error state 6
Apache_2k,95,,,Sun,[Sun Dec 04 05:01:20 2005] [notice] jk2_init() Found child 8584 in scoreboard slot 7,[Sun Dec 04 05:01:20 <NUM>] [notice] jk2_init() Found child <NUM> in scoreboard slot 7
Apache_2k,96,,,Sun,[Sun Dec 04 05:01:20 2005] [notice] jk2_init() Found child 8587 in scoreboard slot 9,[Sun Dec 04 05:01:20 <NUM>] [notice] jk2_init() Found child <NUM> in scoreboard slot 9
Apache_2k,97,,,Sun,[Sun Dec 04 05:02:14 2005] [notice] jk2_init() Found child 8603 in scoreboard slot 10,[Sun Dec 04 05:02:14 <NUM>] [notice] jk2_init() Found child <NUM> in scoreboard slot 10
Apache_2k,98,,,Sun,[Sun Dec 04 05:02:14 2005] [notice] jk2_init() Found child 8605 in scoreboard slot 8,[Sun Dec 04 05:02:14 <NUM>] [notice] jk2_init() Found child <NUM> in scoreboard slot 8
Apache_2k,99,,,Sun,[Sun Dec 04 05:04:03 2005] [notice] jk2_init() Found child 8764 in scoreboard slot 10,[Sun Dec 04 05:04:03 <NUM>] [notice] jk2_init() Found child <NUM> in scoreboard slot 10
Apache_2k,100,,,Sun,[Sun Dec 04 05:04:03 2005] [notice] jk2_init() Found child 8765 in scoreboard slot 11,[Sun Dec 04 05:04:03 <NUM>] [notice] jk2_init() Found child <NUM> in scoreboard slot 11
Apache_2k,101,,,Sun,[Sun Dec 04 05:04:03 2005] [notice] jk2_init() Found child 8763 in scoreboard slot 9,[Sun Dec 04 05:04:03 <NUM>] [notice] jk2_init() Found child <NUM> in scoreboard slot 9
Apache_2k,102,,,Sun,[Sun Dec 04 05:04:03 2005] [notice] jk2_init() Found child 8744 in scoreboard slot 8,[Sun Dec 04 05:04:03 <NUM>] [notice] jk2_init() Found child <NUM> in scoreboard slot 8
Apache_2k,103,,,Sun,[Sun Dec 04 05:04:03 2005] [notice] jk2_init() Found child 8743 in scoreboard slot 7,[Sun Dec 04 05:04:03 <NUM>] [notice] jk2_init() Found child <NUM> in scoreboard slot 7
Apache_2k,104,,,Sun,[Sun Dec 04 05:04:03 2005] [notice] jk2_init() Found child 8738 in scoreboard slot 6,[Sun Dec 04 05:04:03 <NUM>] [notice] jk2_init() Found child <NUM> in scoreboard slot 6
Apache_2k,105,,,Sun,[Sun Dec 04 05:04:03 2005] [notice] jk2_init() Found child 8766 in scoreboard slot 12,[Sun Dec 04 05:04:03 <NUM>] [notice] jk2_init() Found child <NUM> in scoreboard slot 12
Apache_2k,106,,,Sun,[Sun Dec 04 05:04:04 2005] [notice] workerEnv.init() ok /etc/httpd/conf/workers2.properties,[Sun Dec 04 05:04:04 <NUM>] [notice] workerEnv.init() ok <PATH>
Apache_2k,107,,,Sun,[Sun Dec 04 05:04:04 2005] [error] mod_jk child workerEnv in error state 7,[Sun Dec 04 05:04:04 <NUM>] [error] mod_jk child workerEnv in error state 7
Apache_2k,108,,,Sun,[Sun Dec 04 05:04:04 2005] [notice] workerEnv.init() ok /etc/httpd/conf/workers2.properties,[Sun Dec 04 05:04:04 <NUM>] [notice] workerEnv.init() ok <PATH>
Apache_2k,109,,,Sun,[Sun Dec 04 05:04:04 2005] [error] mod_jk child workerEnv in error state 6,[Sun Dec 04 05:04:04 <NUM>] [error] mod_jk child workerEnv in error state 6
Apache_2k,110,,,Sun,[Sun Dec 04 05:04:04 2005] [notice] workerEnv.init() ok /etc/httpd/conf/workers2.properties,[Sun Dec 04 05:04:04 <NUM>] [notice] workerEnv.init() ok <PATH>
Apache_2k,111,,,Sun,[Sun Dec 04 05:04:04 2005] [error] mod_jk child workerEnv in error state 7,[Sun Dec 04 05:04:04 <NUM>] [error] mod_jk child workerEnv in error state 7
Apache_2k,112,,,Sun,[Sun Dec 04 05:04:04 2005] [notice] workerEnv.init() ok /etc/httpd/conf/workers2.properties,[Sun Dec 04 05:04:04 <NUM>] [notice] workerEnv.init() ok <PATH>
Apache_2k,113,,,Sun,[Sun Dec 04 05:04:04 2005] [error] mod_jk child workerEnv in error state 7,[Sun Dec 04 05:04:04 <NUM>] [error] mod_jk child workerEnv in error state 7
Apache_2k,114,,,Sun,[Sun Dec 04 05:04:04 2005] [notice] workerEnv.init() ok /etc/httpd/conf/workers2.properties,[Sun Dec 04 05:04:04 <NUM>] [notice] workerEnv.init() ok <PATH>
Apache_2k,115,,,Sun,[Sun Dec 04 05:04:04 2005] [error] mod_jk child workerEnv in error state 7,[Sun Dec 04 05:04:04 <NUM>] [error] mod_jk child workerEnv in error state 7
Apache_2k,116,,,Sun,[Sun Dec 04 05:04:04 2005] [notice] workerEnv.init() ok /etc/httpd/conf/workers2.properties,[Sun Dec 04 05:04:04 <NUM>] [notice] workerEnv.init() ok <PATH>
Apache_2k,117,,,Sun,[Sun Dec 04 05:04:04 2005] [error] mod_jk child workerEnv in error state 6,[Sun Dec 04 05:04:04 <NUM>] [error] mod_jk child workerEnv in error state 6
Apache_2k,118,,,Sun,[Sun Dec 04 05:04:04 2005] [notice] workerEnv.init() ok /etc/httpd/conf/workers2.properties,[Sun Dec 04 05:04:04 <NUM>] [notice] workerEnv.init() ok <PATH>
Apache_2k,119,,,Sun,[Sun Dec 04 05:04:04 2005] [error] mod_jk child workerEnv in error state 6,[Sun Dec 04 05:04:04 <NUM>] [error] mod_jk child workerEnv in error state 6
Apache_2k,120,,,Sun,[Sun Dec 04 05:11:51 2005] [notice] jk2_init() Found child 25792 in scoreboard slot 6,[Sun Dec 04 05:11:51 <NUM>] [notice] jk2_init() Found child <NUM> in scoreboard slot 6
Apache_2k,121,,,Sun,[Sun Dec 04 05:12:07 2005] [notice] workerEnv.init() ok /etc/httpd/conf/workers2.properties,[Sun Dec 04 05:12:07 <NUM>] [notice] workerEnv.init() ok <PATH>
Apache_2k,122,,,Sun,[Sun Dec 04 05:12:10 2005] [error] mod_jk child workerEnv in error state 6,[Sun Dec 04 05:12:10 <NUM>] [error] mod_jk child workerEnv in error state 6
Apache_2k,123,,,Sun,[Sun Dec 04 05:12:26 2005] [notice] jk2_init() Found child 25798 in scoreboard slot 7,[Sun Dec 04 05:12:26 <NUM>] [notice] jk2_init() Found child <NUM> in scoreboard slot 7
Apache_2k,124,,,Sun,[Sun Dec 04 05:12:26 2005] [notice] jk2_init() Found child 25803 in scoreboard slot 8,[Sun Dec 04 05:12:26 <NUM>] [notice] jk2_init() Found child <NUM> in scoreboard slot 8
Apache_2k,125,,,Sun,[Sun Dec 04 05:12:28 2005] [notice] workerEnv.init() ok /etc/httpd/conf/workers2.properties,[Sun Dec 04 05:12:28 <NUM>] [notice] workerEnv.init() ok <PATH>
Apache_2k,126,,,Sun,[Sun Dec 04 05:12:28 2005] [error] mod_jk child workerEnv in error state 6,[Sun Dec 04 05:12:28 <NUM>] [error] mod_jk child workerEnv in error state 6
Apache_2k,127,,,Sun,[Sun Dec 04 05:12:28 2005] [notice] workerEnv.init() ok /etc/httpd/conf/workers2.properties,[Sun Dec 04 05:12:28 <NUM>] [notice] workerEnv.init() ok <PATH>
Apache_2k,128,,,Sun,[Sun Dec 04 05:12:28 2005] [error] mod_jk child workerEnv in error state 6,[Sun Dec 04 05:12:28 <NUM>] [error] mod_jk child workerEnv in error state 6
Apache_2k,129,,,Sun,[Sun Dec 04 05:12:30 2005] [notice] jk2_init() Found child 25805 in scoreboard slot 9,[Sun Dec 04 05:12:30 <NUM>] [notice] jk2_init() Found child <NUM> in scoreboard slot 9
Apache_2k,130,,,Sun,[Sun Dec 04 05:12:30 2005] [notice] workerEnv.init() ok /etc/httpd/conf/workers2.properties,[Sun Dec 04 05:12:30 <NUM>] [notice] workerEnv.init() ok <PATH>
Apache_2k,131,,,Sun,[Sun Dec 04 05:12:30 2005] [error] mod_jk child workerEnv in error state 6,[Sun Dec 04 05:12:30 <NUM>] [error] mod_jk child workerEnv in error state 6
