dataset,line_no,timestamp,level,component,message,template
HealthApp_2k,27,,,Step_StandReportReceiver,20171223-22:15:30:642|Step_StandReportReceiver|30002312|REPORT : 7009 5004 150132 240,<HEX>-22:15:30:<NUM>|Step_StandReportReceiver|<HEX>|REPORT : <NUM> <NUM> <NUM> <NUM>
HealthApp_2k,28,,,Step_LSC,20171223-22:15:30:841|Step_LSC|30002312|onStandStepChanged 3583,<HEX>-22:15:30:<NUM>|Step_LSC|<HEX>|onStandStepChanged <NUM>
HealthApp_2k,29,,,onExtend,20171223-22:15:30:858|Step_LSC|30002312|onExtend:1514038531000 2 0 4,<HEX>-22:15:30:<NUM>|Step_LSC|<HEX>|onExtend:<HEX> 2 0 4
HealthApp_2k,30,,,Step_SPUtils,20171223-22:15:31:142|Step_SPUtils|30002312| getTodayTotalDetailSteps = 1514038440000##7009##548365##8661##12551##27174951,<HEX>-22:15:31:<NUM>|Step_SPUtils|<HEX>| getTodayTotalDetailSteps = <HEX>##<NUM>##<NUM>##<NUM>##<NUM>##<HEX>
HealthApp_2k,31,,,Step_SPUtils,20171223-22:15:31:143|Step_SPUtils|30002312|setTodayTotalDetailSteps=1514038440000##7011##548365##8661##12646##27175461,<HEX>-22:15:31:<NUM>|Step_SPUtils|<HEX>|setTodayTotalDetailSteps=<HEX>##<NUM>##<NUM>##<NUM>##<NUM>##<HEX>
HealthApp_2k,32,,,Step_ExtSDM,20171223-22:15:31:157|Step_ExtSDM|30002312|calculateCaloriesWithCache totalCalories=126861,<HEX>-22:15:31:<NUM>|Step_ExtSDM|<HEX>|calculateCaloriesWithCache totalCalories=<NUM>
HealthApp_2k,33,,,Step_ExtSDM,20171223-22:15:31:160|Step_ExtSDM|30002312|calculateAltitudeWithCache totalAltitude=240,<HEX>-22:15:31:<NUM>|Step_ExtSDM|<HEX>|calculateAltitudeWithCache totalAltitude=<NUM>
HealthApp_2k,34,,,Step_StandReportReceiver,20171223-22:15:31:160|Step_StandReportReceiver|30002312|REPORT : 7011 5005 150175 240,<HEX>-22:15:31:<NUM>|Step_StandReportReceiver|<HEX>|REPORT : <NUM> <NUM> <NUM> <NUM>
HealthApp_2k,35,,,Step_LSC,20171223-22:15:31:841|Step_LSC|30002312|onStandStepChanged 3584,<HEX>-22:15:31:<NUM>|Step_LSC|<HEX>|onStandStepChanged <NUM>
HealthApp_2k,36,,,onExtend,20171223-22:15:31:862|Step_LSC|30002312|onExtend:1514038532000 1 0 4,<HEX>-22:15:31:<NUM>|Step_LSC|<HEX>|onExtend:<HEX> 1 0 4
HealthApp_2k,37,,,Step_SPUtils,20171223-22:15:32:145|Step_SPUtils|30002312| getTodayTotalDetailSteps = 1514038440000##7011##548365##8661##12646##27175461,<HEX>-22:15:32:<NUM>|Step_SPUtils|<HEX>| getTodayTotalDetailSteps = <HEX>##<NUM>##<NUM>##<NUM>##<NUM>##<HEX>
HealthApp_2k,38,,,Step_SPUtils,20171223-22:15:32:147|Step_SPUtils|30002312|setTodayTotalDetailSteps=1514038440000##7012##548365##8661##12741##27176464,<HEX>-22:15:32:<NUM>|Step_SPUtils|<HEX>|setTodayTotalDetailSteps=<HEX>##<NUM>##<NUM>##<NUM>##<NUM>##<HEX>
HealthApp_2k,39,,,Step_ExtSDM,20171223-22:15:32:156|Step_ExtSDM|30002312|calculateCaloriesWithCache totalCalories=126882,<HEX>-22:15:32:<NUM>|Step_ExtSDM|<HEX>|calculateCaloriesWithCache totalCalories=<NUM>
HealthApp_2k,40,,,Step_ExtSDM,20171223-22:15:32:162|Step_ExtSDM|30002312|calculateAltitudeWithCache totalAltitude=240,<HEX>-22:15:32:<NUM>|Step_ExtSDM|<HEX>|calculateAltitudeWithCache totalAltitude=<NUM>
HealthApp_2k,41,,,Step_StandReportReceiver,20171223-22:15:32:163|Step_StandReportReceiver|30002312|REPORT : 7012 5006 150197 240,<HEX>-22:15:32:<NUM>|Step_StandReportReceiver|<HEX>|REPORT : <NUM> <NUM> <NUM> <NUM>
HealthApp_2k,42,,,Step_LSC,20171223-22:15:32:340|Step_LSC|30002312|onStandStepChanged 3585,<HEX>-22:15:32:<NUM>|Step_LSC|<HEX>|onStandStepChanged <NUM>
HealthApp_2k,43,,,onExtend,20171223-22:15:32:354|Step_LSC|30002312|onExtend:1514038533000 1 0 4,<HEX>-22:15:32:<NUM>|Step_LSC|<HEX>|onExtend:<HEX> 1 0 4
HealthApp_2k,44,,,Step_SPUtils,20171223-22:15:32:647|Step_SPUtils|30002312| getTodayTotalDetailSteps = 1514038440000##7012##548365##8661##12741##27176464,<HEX>-22:15:32:<NUM>|Step_SPUtils|<HEX>| getTodayTotalDetailSteps = <HEX>##<NUM>##<NUM>##<NUM>##<NUM>##<HEX>
HealthApp_2k,45,,,Step_SPUtils,20171223-22:15:32:648|Step_SPUtils|30002312|setTodayTotalDetailSteps=1514038440000##7013##548365##8661##12836##27176966,<HEX>-22:15:32:<NUM>|Step_SPUtils|<HEX>|setTodayTotalDetailSteps=<HEX>##<NUM>##<NUM>##<NUM>##<NUM>##<HEX>
HealthApp_2k,46,,,Step_ExtSDM,20171223-22:15:32:656|Step_ExtSDM|30002312|calculateCaloriesWithCache totalCalories=126904,<HEX>-22:15:32:<NUM>|Step_ExtSDM|<HEX>|calculateCaloriesWithCache totalCalories=<NUM>
HealthApp_2k,47,,,Step_ExtSDM,20171223-22:15:32:658|Step_ExtSDM|30002312|calculateAltitudeWithCache totalAltitude=240,<HEX>-22:15:32:<NUM>|Step_ExtSDM|<HEX>|calculateAltitudeWithCache totalAltitude=<NUM>
HealthApp_2k,48,,,Step_StandReportReceiver,20171223-22:15:32:659|Step_StandReportReceiver|30002312|REPORT : 7013 5007 150218 240,<HEX>-22:15:32:<NUM>|Step_StandReportReceiver|<HEX>|REPORT : <NUM> <NUM> <NUM> <NUM>
HealthApp_2k,49,,,Step_LSC,20171223-22:15:32:840|Step_LSC|30002312|onStandStepChanged 3586,<HEX>-22:15:32:<NUM>|Step_LSC|<HEX>|onStandStepChanged <NUM>
HealthApp_2k,50,,,onExtend,20171223-22:15:32:846|Step_LSC|30002312|onExtend:1514038533000 1 0 4,<HEX>-22:15:32:<NUM>|Step_LSC|<HEX>|onExtend:<HEX> 1 0 4
HealthApp_2k,51,,,Step_SPUtils,20171223-22:15:33:144|Step_SPUtils|30002312| getTodayTotalDetailSteps = 1514038440000##7013##548365##8661##12836##27176966,<HEX>-22:15:33:<NUM>|Step_SPUtils|<HEX>| getTodayTotalDetailSteps = <HEX>##<NUM>##<NUM>##<NUM>##<NUM>##<HEX>
HealthApp_2k,52,,,Step_SPUtils,20171223-22:15:33:144|Step_SPUtils|30002312|setTodayTotalDetailSteps=1514038440000##7014##548365##8661##12931##27177463,<HEX>-22:15:33:<NUM>|Step_SPUtils|<HEX>|setTodayTotalDetailSteps=<HEX>##<NUM>##<NUM>##<NUM>##<NUM>##<HEX>
HealthApp_2k,53,,,Step_ExtSDM,20171223-22:15:33:148|Step_ExtSDM|30002312|calculateCaloriesWithCache totalCalories=126925,<HEX>-22:15:33:<NUM>|Step_ExtSDM|<HEX>|calculateCaloriesWithCache totalCalories=<NUM>
HealthApp_2k,54,,,Step_ExtSDM,20171223-22:15:33:149|Step_ExtSDM|30002312|calculateAltitudeWithCache totalAltitude=240,<HEX>-22:15:33:<NUM>|Step_ExtSDM|<HEX>|calculateAltitudeWithCache totalAltitude=<NUM>
HealthApp_2k,55,,,Step_StandReportReceiver,20171223-22:15:33:149|Step_StandReportReceiver|30002312|REPORT : 7014 5007 150239 240,<HEX>-22:15:33:<NUM>|Step_StandReportReceiver|<HEX>|REPORT : <NUM> <NUM> <NUM> <NUM>
HealthApp_2k,56,,,Step_LSC,20171223-22:15:33:341|Step_LSC|30002312|onStandStepChanged 3587,<HEX>-22:15:33:<NUM>|Step_LSC|<HEX>|onStandStepChanged <NUM>
HealthApp_2k,57,,,onExtend,20171223-22:15:33:370|Step_LSC|30002312|onExtend:1514038534000 1 0 4,<HEX>-22:15:33:<NUM>|Step_LSC|<HEX>|onExtend:<HEX> 1 0 4
HealthApp_2k,58,,,Step_SPUtils,20171223-22:15:33:643|Step_SPUtils|30002312| getTodayTotalDetailSteps = 1514038440000##7014##548365##8661##12931##27177463,<HEX>-22:15:33:<NUM>|Step_SPUtils|<HEX>| getTodayTotalDetailSteps = <HEX>##<NUM>##<NUM>##<NUM>##<NUM>##<HEX>
HealthApp_2k,59,,,Step_SPUtils,20171223-22:15:33:644|Step_SPUtils|30002312|setTodayTotalDetailSteps=1514038440000##7015##548365##8661##13026##27177962,<HEX>-22:15:33:<NUM>|Step_SPUtils|<HEX>|setTodayTotalDetailSteps=<HEX>##<NUM>##<NUM>##<NUM>##<NUM>##<HEX>
HealthApp_2k,60,,,Step_ExtSDM,20171223-22:15:33:658|Step_ExtSDM|30002312|calculateCaloriesWithCache totalCalories=126947,<HEX>-22:15:33:<NUM>|Step_ExtSDM|<HEX>|calculateCaloriesWithCache totalCalories=<NUM>
HealthApp_2k,61,,,Step_ExtSDM,20171223-22:15:33:662|Step_ExtSDM|30002312|calculateAltitudeWithCache totalAltitude=240,<HEX>-22:15:33:<NUM>|Step_ExtSDM|<HEX>|calculateAltitudeWithCache totalAltitude=<NUM>
HealthApp_2k,62,,,Step_StandReportReceiver,20171223-22:15:33:663|Step_StandReportReceiver|30002312|REPORT : 7015 5008 150261 240,<HEX>-22:15:33:<NUM>|Step_StandReportReceiver|<HEX>|REPORT : <NUM> <NUM> <NUM> <NUM>
HealthApp_2k,63,,,Step_LSC,20171223-22:15:34:711|Step_LSC|30002312|onStandStepChanged 3588,<HEX>-22:15:34:<NUM>|Step_LSC|<HEX>|onStandStepChanged <NUM>
HealthApp_2k,64,,,onExtend,20171223-22:15:34:723|Step_LSC|30002312|onExtend:1514038535000 1 0 4,<HEX>-22:15:34:<NUM>|Step_LSC|<HEX>|onExtend:<HEX> 1 0 4
HealthApp_2k,65,,,action,20171223-22:15:34:723|Step_StandReportReceiver|30002312|onReceive action: android.intent.action.SCREEN_OFF,<HEX>-22:15:34:<NUM>|Step_StandReportReceiver|<HEX>|onReceive action: android.intent.action.SCREEN_OFF
HealthApp_2k,66,,,Step_LSC,20171223-22:15:34:848|Step_LSC|30002312|onStandStepChanged 3589,<HEX>-22:15:34:<NUM>|Step_LSC|<HEX>|onStandStepChanged <NUM>
HealthApp_2k,67,,,onExtend,20171223-22:15:34:851|Step_LSC|30002312|onExtend:1514038535000 1 0 4,<HEX>-22:15:34:<NUM>|Step_LSC|<HEX>|onExtend:<HEX> 1 0 4
HealthApp_2k,68,,,Step_SPUtils,20171223-22:15:35:11|Step_SPUtils|30002312| getTodayTotalDetailSteps = 1514038440000##7015##548365##8661##13026##27177962,<HEX>-22:15:35:11|Step_SPUtils|<HEX>| getTodayTotalDetailSteps = <HEX>##<NUM>##<NUM>##<NUM>##<NUM>##<HEX>
HealthApp_2k,69,,,Step_SPUtils,20171223-22:15:35:12|Step_SPUtils|30002312|setTodayTotalDetailSteps=1514038440000##7017##548365##8661##13121##27179330,<HEX>-22:15:35:12|Step_SPUtils|<HEX>|setTodayTotalDetailSteps=<HEX>##<NUM>##<NUM>##<NUM>##<NUM>##<HEX>
HealthApp_2k,70,,,Step_ExtSDM,20171223-22:15:35:20|Step_ExtSDM|30002312|calculateCaloriesWithCache totalCalories=126989,<HEX>-22:15:35:20|Step_ExtSDM|<HEX>|calculateCaloriesWithCache totalCalories=<NUM>
HealthApp_2k,71,,,Step_ExtSDM,20171223-22:15:35:22|Step_ExtSDM|30002312|calculateAltitudeWithCache totalAltitude=240,<HEX>-22:15:35:22|Step_ExtSDM|<HEX>|calculateAltitudeWithCache totalAltitude=<NUM>
HealthApp_2k,72,,,Step_ScreenUtil,20171223-22:15:35:23|Step_ScreenUtil|30002312|isScreenOn true,<HEX>-22:15:35:23|Step_ScreenUtil|<HEX>|isScreenOn true
HealthApp_2k,73,,,Step_StandReportReceiver,"20171223-22:15:35:23|Step_StandReportReceiver|30002312|screen status unknown,think screen on","<HEX>-22:15:35:23|Step_StandReportReceiver|<HEX>|screen status unknown,think screen on"
HealthApp_2k,74,,,Step_StandReportReceiver,20171223-22:15:35:23|Step_StandReportReceiver|30002312|REPORT : 7017 5010 150304 240,<HEX>-22:15:35:23|Step_StandReportReceiver|<HEX>|REPORT : <NUM> <NUM> <NUM> <NUM>
HealthApp_2k,75,,,action,20171223-22:15:35:96|Step_StandReportReceiver|30002312|onReceive action: android.intent.action.SCREEN_ON,<HEX>-22:15:35:96|Step_StandReportReceiver|<HEX>|onReceive action: android.intent.action.SCREEN_ON
HealthApp_2k,76,,,action,20171223-22:15:35:97|Step_LSC|30002312|processHandleBroadcastAction action:android.intent.action.SCREEN_ON,<HEX>-22:15:35:97|Step_LSC|<HEX>|processHandleBroadcastAction action:android.intent.action.SCREEN_ON
HealthApp_2k,77,,,Step_StandStepCounter,20171223-22:15:35:97|Step_StandStepCounter|30002312|flush sensor data,<HEX>-22:15:35:97|Step_StandStepCounter|<HEX>|flush sensor data
HealthApp_2k,78,,,Step_SPUtils,20171223-22:15:35:98|Step_SPUtils|30002312| getTodayTotalDetailSteps = 1514038440000##7017##548365##8661##13121##27179330,<HEX>-22:15:35:98|Step_SPUtils|<HEX>| getTodayTotalDetailSteps = <HEX>##<NUM>##<NUM>##<NUM>##<NUM>##<HEX>
HealthApp_2k,79,,,Step_SPUtils,20171223-22:15:35:98|Step_SPUtils|30002312|setTodayTotalDetailSteps=1514038440000##7017##548365##8661##13216##27179417,<HEX>-22:15:35:98|Step_SPUtils|<HEX>|setTodayTotalDetailSteps=<HEX>##<NUM>##<NUM>##<NUM>##<NUM>##<HEX>
HealthApp_2k,80,,,Step_LSC,20171223-22:15:35:98|Step_LSC|30002312|onStandStepChanged 3589,<HEX>-22:15:35:98|Step_LSC|<HEX>|onStandStepChanged <NUM>
HealthApp_2k,81,,,Step_ExtSDM,20171223-22:15:35:104|Step_ExtSDM|30002312|calculateCaloriesWithCache totalCalories=126989,<HEX>-22:15:35:<NUM>|Step_ExtSDM|<HEX>|calculateCaloriesWithCache totalCalories=<NUM>
HealthApp_2k,82,,,Step_ExtSDM,20171223-22:15:35:112|Step_ExtSDM|30002312|calculateAltitudeWithCache totalAltitude=240,<HEX>-22:15:35:<NUM>|Step_ExtSDM|<HEX>|calculateAltitudeWithCache totalAltitude=<NUM>
HealthApp_2k,83,,,Step_StandReportReceiver,20171223-22:15:35:112|Step_StandReportReceiver|30002312|REPORT : 7017 5010 150304 240,<HEX>-22:15:35:<NUM>|Step_StandReportReceiver|<HEX>|REPORT : <NUM> <NUM> <NUM> <NUM>
HealthApp_2k,84,,,Step_LSC,20171223-22:15:35:198|Step_LSC|30002312|onStandStepChanged 3589,<HEX>-22:15:35:<NUM>|Step_LSC|<HEX>|onStandStepChanged <NUM>
HealthApp_2k,85,,,onExtend,20171223-22:15:35:201|Step_LSC|30002312|onExtend:1514038536000 0 0 4,<HEX>-22:15:35:<NUM>|Step_LSC|<HEX>|onExtend:<HEX> 0 0 4
HealthApp_2k,86,,,Step_LSC,20171223-22:15:35:348|Step_LSC|30002312|onStandStepChanged 3590,<HEX>-22:15:35:<NUM>|Step_LSC|<HEX>|onStandStepChanged <NUM>
HealthApp_2k,87,,,onExtend,20171223-22:15:35:352|Step_LSC|30002312|onExtend:1514038536000 1 0 4,<HEX>-22:15:35:<NUM>|Step_LSC|<HEX>|onExtend:<HEX> 1 0 4
HealthApp_2k,88,,,Step_SPUtils,20171223-22:15:35:413|Step_SPUtils|30002312| getTodayTotalDetailSteps = 1514038440000##7017##548365##8661##13216##27179417,<HEX>-22:15:35:<NUM>|Step_SPUtils|<HEX>| getTodayTotalDetailSteps = <HEX>##<NUM>##<NUM>##<NUM>##<NUM>##<HEX>
HealthApp_2k,89,,,Step_SPUtils,20171223-22:15:35:413|Step_SPUtils|30002312|setTodayTotalDetailSteps=1514038440000##7018##548365##8661##13311##27179732,<HEX>-22:15:35:<NUM>|Step_SPUtils|<HEX>|setTodayTotalDetailSteps=<HEX>##<NUM>##<NUM>##<NUM>##<NUM>##<HEX>
HealthApp_2k,90,,,Step_ExtSDM,20171223-22:15:35:418|Step_ExtSDM|30002312|calculateCaloriesWithCache totalCalories=127011,<HEX>-22:15:35:<NUM>|Step_ExtSDM|<HEX>|calculateCaloriesWithCache totalCalories=<NUM>
HealthApp_2k,91,,,Step_ExtSDM,20171223-22:15:35:421|Step_ExtSDM|30002312|calculateAltitudeWithCache totalAltitude=240,<HEX>-22:15:35:<NUM>|Step_ExtSDM|<HEX>|calculateAltitudeWithCache totalAltitude=<NUM>
HealthApp_2k,92,,,Step_StandReportReceiver,20171223-22:15:35:421|Step_StandReportReceiver|30002312|REPORT : 7018 5010 150325 240,<HEX>-22:15:35:<NUM>|Step_StandReportReceiver|<HEX>|REPORT : <NUM> <NUM> <NUM> <NUM>
HealthApp_2k,93,,,Step_LSC,20171223-22:15:35:848|Step_LSC|30002312|onStandStepChanged 3591,<HEX>-22:15:35:<NUM>|Step_LSC|<HEX>|onStandStepChanged <NUM>
HealthApp_2k,94,,,onExtend,20171223-22:15:35:852|Step_LSC|30002312|onExtend:1514038536000 1 0 4,<HEX>-22:15:35:<NUM>|Step_LSC|<HEX>|onExtend:<HEX> 1 0 4
HealthApp_2k,95,,,Step_SPUtils,20171223-22:15:36:149|Step_SPUtils|30002312| getTodayTotalDetailSteps = 1514038440000##7018##548365##8661##13311##27179732,<HEX>-22:15:36:<NUM>|Step_SPUtils|<HEX>| getTodayTotalDetailSteps = <HEX>##<NUM>##<NUM>##<NUM>##<NUM>##<HEX>
HealthApp_2k,96,,,Step_SPUtils,20171223-22:15:36:149|Step_SPUtils|30002312|setTodayTotalDetailSteps=1514038440000##7019##548365##8661##13406##27180468,<HEX>-22:15:36:<NUM>|Step_SPUtils|<HEX>|setTodayTotalDetailSteps=<HEX>##<NUM>##<NUM>##<NUM>##<NUM>##<HEX>
HealthApp_2k,97,,,Step_ExtSDM,20171223-22:15:36:154|Step_ExtSDM|30002312|calculateCaloriesWithCache totalCalories=127032,<HEX>-22:15:36:<NUM>|Step_ExtSDM|<HEX>|calculateCaloriesWithCache totalCalories=<NUM>
HealthApp_2k,98,,,Step_ExtSDM,20171223-22:15:36:157|Step_ExtSDM|30002312|calculateAltitudeWithCache totalAltitude=240,<HEX>-22:15:36:<NUM>|Step_ExtSDM|<HEX>|calculateAltitudeWithCache totalAltitude=<NUM>
HealthApp_2k,99,,,Step_StandReportReceiver,20171223-22:15:36:157|Step_StandReportReceiver|30002312|REPORT : 7019 5011 150346 240,<HEX>-22:15:36:<NUM>|Step_StandReportReceiver|<HEX>|REPORT : <NUM> <NUM> <NUM> <NUM>
HealthApp_2k,100,,,Step_LSC,20171223-22:15:36:356|Step_LSC|30002312|onStandStepChanged 3592,<HEX>-22:15:36:<NUM>|Step_LSC|<HEX>|onStandStepChanged <NUM>
HealthApp_2k,101,,,onExtend,20171223-22:15:36:365|Step_LSC|30002312|onExtend:1514038537000 1 0 4,<HEX>-22:15:36:<NUM>|Step_LSC|<HEX>|onExtend:<HEX> 1 0 4
HealthApp_2k,102,,,Step_SPUtils,20171223-22:15:36:657|Step_SPUtils|30002312| getTodayTotalDetailSteps = 1514038440000##7019##548365##8661##13406##27180468,<HEX>-22:15:36:<NUM>|Step_SPUtils|<HEX>| getTodayTotalDetailSteps = <HEX>##<NUM>##<NUM>##<NUM>##<NUM>##<HEX>
HealthApp_2k,103,,,Step_SPUtils,20171223-22:15:36:657|Step_SPUtils|30002312|setTodayTotalDetailSteps=1514038440000##7020##548365##8661##13501##27180976,<HEX>-22:15:36:<NUM>|Step_SPUtils|<HEX>|setTodayTotalDetailSteps=<HEX>##<NUM>##<NUM>##<NUM>##<NUM>##<HEX>
HealthApp_2k,104,,,Step_ExtSDM,20171223-22:15:36:668|Step_ExtSDM|30002312|calculateCaloriesWithCache totalCalories=127054,<HEX>-22:15:36:<NUM>|Step_ExtSDM|<HEX>|calculateCaloriesWithCache totalCalories=<NUM>
HealthApp_2k,105,,,Step_ExtSDM,20171223-22:15:36:672|Step_ExtSDM|30002312|calculateAltitudeWithCache totalAltitude=240,<HEX>-22:15:36:<NUM>|Step_ExtSDM|<HEX>|calculateAltitudeWithCache totalAltitude=<NUM>
HealthApp_2k,106,,,Step_StandReportReceiver,20171223-22:15:36:673|Step_StandReportReceiver|30002312|REPORT : 7020 5012 150368 240,<HEX>-22:15:36:<NUM>|Step_StandReportReceiver|<HEX>|REPORT : <NUM> <NUM> <NUM> <NUM>
HealthApp_2k,107,,,Step_LSC,20171223-22:15:37:351|Step_LSC|30002312|onStandStepChanged 3593,<HEX>-22:15:37:<NUM>|Step_LSC|<HEX>|onStandStepChanged <NUM>
HealthApp_2k,108,,,onExtend,20171223-22:15:37:361|Step_LSC|30002312|onExtend:1514038538000 1 0 4,<HEX>-22:15:37:<NUM>|Step_LSC|<HEX>|onExtend:<HEX> 1 0 4
