dataset,line_no,timestamp,level,component,message,template
Hadoop_2k,11,,INFO,org.apache.hadoop.yarn.event.AsyncDispatcher,"2015-10-18 18:01:50,572 INFO [main] org.apache.hadoop.yarn.event.AsyncDispatcher: Registering class org.apache.hadoop.mapreduce.v2.app.commit.CommitterEventType for class org.apache.hadoop.mapreduce.v2.app.commit.CommitterEventHandler","<NUM>-10-18 18:01:50,<NUM> INFO [main] org.apache.hadoop.yarn.event.AsyncDispatcher: Registering class org.apache.hadoop.mapreduce.v2.app.commit.CommitterEventType for class org.apache.hadoop.mapreduce.v2.app.commit.CommitterEventHandler"
Hadoop_2k,12,,INFO,org.apache.hadoop.yarn.event.AsyncDispatcher,"2015-10-18 18:01:50,572 INFO [main] org.apache.hadoop.yarn.event.AsyncDispatcher: Registering class org.apache.hadoop.mapreduce.v2.app.speculate.Speculator$EventType for class org.apache.hadoop.mapreduce.v2.app.MRAppMaster$SpeculatorEventDispatcher","<NUM>-10-18 18:01:50,<NUM> INFO [main] org.apache.hadoop.yarn.event.AsyncDispatcher: Registering class org.apache.hadoop.mapreduce.v2.app.speculate.Speculator$EventType for class org.apache.hadoop.mapreduce.v2.app.MRAppMaster$SpeculatorEventDispatcher"
Hadoop_2k,13,,INFO,org.apache.hadoop.yarn.event.AsyncDispatcher,"2015-10-18 18:01:50,572 INFO [main] org.apache.hadoop.yarn.event.AsyncDispatcher: Registering class org.apache.hadoop.mapreduce.v2.app.rm.ContainerAllocator$EventType for class org.apache.hadoop.mapreduce.v2.app.MRAppMaster$ContainerAllocatorRouter","<NUM>-10-18 18:01:50,<NUM> INFO [main] org.apache.hadoop.yarn.event.AsyncDispatcher: Registering class org.apache.hadoop.mapreduce.v2.app.rm.ContainerAllocator$EventType for class org.apache.hadoop.mapreduce.v2.app.MRAppMaster$ContainerAllocatorRouter"
Hadoop_2k,14,,INFO,org.apache.hadoop.yarn.event.AsyncDispatcher,"2015-10-18 18:01:50,588 INFO [main] org.apache.hadoop.yarn.event.AsyncDispatcher: Registering class org.apache.hadoop.mapreduce.v2.app.launcher.ContainerLauncher$EventType for class org.apache.hadoop.mapreduce.v2.app.MRAppMaster$ContainerLauncherRouter","<NUM>-10-18 18:01:50,<NUM> INFO [main] org.apache.hadoop.yarn.event.AsyncDispatcher: Registering class org.apache.hadoop.mapreduce.v2.app.launcher.ContainerLauncher$EventType for class org.apache.hadoop.mapreduce.v2.app.MRAppMaster$ContainerLauncherRouter"
Hadoop_2k,15,,INFO,org.apache.hadoop.mapreduce.v2.jobhistory.JobHistoryUtils,"2015-10-18 18:01:50,634 INFO [main] org.apache.hadoop.mapreduce.v2.jobhistory.JobHistoryUtils: Default file system [hdfs://msra-sa-41:9000]","<NUM>-10-18 18:01:50,<NUM> INFO [main] org.apache.hadoop.mapreduce.v2.jobhistory.JobHistoryUtils: Default file system [hdfs:<PATH>:<NUM>]"
Hadoop_2k,16,,INFO,org.apache.hadoop.mapreduce.v2.jobhistory.JobHistoryUtils,"2015-10-18 18:01:50,666 INFO [main] org.apache.hadoop.mapreduce.v2.jobhistory.JobHistoryUtils: Default file system [hdfs://msra-sa-41:9000]","<NUM>-10-18 18:01:50,<NUM> INFO [main] org.apache.hadoop.mapreduce.v2.jobhistory.JobHistoryUtils: Default file system [hdfs:<PATH>:<NUM>]"
Hadoop_2k,17,,INFO,org.apache.hadoop.mapreduce.v2.jobhistory.JobHistoryUtils,"2015-10-18 18:01:50,713 INFO [main] org.apache.hadoop.mapreduce.v2.jobhistory.JobHistoryUtils: Default file system [hdfs://msra-sa-41:9000]","<NUM>-10-18 18:01:50,<NUM> INFO [main] org.apache.hadoop.mapreduce.v2.jobhistory.JobHistoryUtils: Default file system [hdfs:<PATH>:<NUM>]"
Hadoop_2k,18,,INFO,org.apache.hadoop.mapreduce.jobhistory.JobHistoryEventHandler,"2015-10-18 18:01:50,728 INFO [main] org.apache.hadoop.mapreduce.jobhistory.JobHistoryEventHandler: Emitting job history data to the timeline server is not enabled","<NUM>-10-18 18:01:50,<NUM> INFO [main] org.apache.hadoop.mapreduce.jobhistory.JobHistoryEventHandler: Emitting job history data to the timeline server is not enabled"
Hadoop_2k,19,,INFO,org.apache.hadoop.yarn.event.AsyncDispatcher,"2015-10-18 18:01:50,806 INFO [main] org.apache.hadoop.yarn.event.AsyncDispatcher: Registering class org.apache.hadoop.mapreduce.v2.app.job.event.JobFinishEvent$Type for class org.apache.hadoop.mapreduce.v2.app.MRAppMaster$JobFinishEventHandler","<NUM>-10-18 18:01:50,<NUM> INFO [main] org.apache.hadoop.yarn.event.AsyncDispatcher: Registering class org.apache.hadoop.mapreduce.v2.app.job.event.JobFinishEvent$Type for class org.apache.hadoop.mapreduce.v2.app.MRAppMaster$JobFinishEventHandler"
Hadoop_2k,20,,INFO,org.apache.hadoop.metrics2.impl.MetricsConfig,"2015-10-18 18:01:51,197 INFO [main] org.apache.hadoop.metrics2.impl.MetricsConfig: loaded properties from hadoop-metrics2.properties","<NUM>-10-18 18:01:51,<NUM> INFO [main] org.apache.hadoop.metrics2.impl.MetricsConfig: loaded properties from hadoop-metrics2.properties"
Hadoop_2k,21,,INFO,org.apache.hadoop.metrics2.impl.MetricsSystemImpl,"2015-10-18 18:01:51,306 INFO [main] org.apache.hadoop.metrics2.impl.MetricsSystemImpl: Scheduled snapshot period at 10 second(s).","<NUM>-10-18 18:01:51,<NUM> INFO [main] org.apache.hadoop.metrics2.impl.MetricsSystemImpl: Scheduled snapshot period at 10 second(s)."
Hadoop_2k,22,,INFO,org.apache.hadoop.metrics2.impl.MetricsSystemImpl,"2015-10-18 18:01:51,306 INFO [main] org.apache.hadoop.metrics2.impl.MetricsSystemImpl: MRAppMaster metrics system started","<NUM>-10-18 18:01:51,<NUM> INFO [main] org.apache.hadoop.metrics2.impl.MetricsSystemImpl: MRAppMaster metrics system started"
Hadoop_2k,23,,INFO,org.apache.hadoop.mapreduce.v2.app.job.impl.JobImpl,"2015-10-18 18:01:51,322 INFO [main] org.apache.hadoop.mapreduce.v2.app.job.impl.JobImpl: Adding job token for job_1445144423722_0020 to jobTokenSecretManager","<NUM>-10-18 18:01:51,<NUM> INFO [main] org.apache.hadoop.mapreduce.v2.app.job.impl.JobImpl: Adding job token for job_<NUM>_<NUM> to jobTokenSecretManager"
Hadoop_2k,24,,INFO,org.apache.hadoop.mapreduce.v2.app.job.impl.JobImpl,"2015-10-18 18:01:51,619 INFO [main] org.apache.hadoop.mapreduce.v2.app.job.impl.JobImpl: Not uberizing job_1445144423722_0020 because: not enabled; too many maps; too much input;","<NUM>-10-18 18:01:51,<NUM> INFO [main] org.apache.hadoop.mapreduce.v2.app.job.impl.JobImpl: Not uberizing job_<NUM>_<NUM> because: not enabled; too many maps; too much input;"
Hadoop_2k,25,,INFO,org.apache.hadoop.mapreduce.v2.app.job.impl.JobImpl,"2015-10-18 18:01:51,650 INFO [main] org.apache.hadoop.mapreduce.v2.app.job.impl.JobImpl: Input size for job job_1445144423722_0020 = 1256521728. Number of splits = 10","<NUM>-10-18 18:01:51,<NUM> INFO [main] org.apache.hadoop.mapreduce.v2.app.job.impl.JobImpl: Input size for job job_<NUM>_<NUM> = <HEX>. Number of splits = 10"
Hadoop_2k,26,,INFO,org.apache.hadoop.mapreduce.v2.app.job.impl.JobImpl,"2015-10-18 18:01:51,650 INFO [main] org.apache.hadoop.mapreduce.v2.app.job.impl.JobImpl: Number of reduces for job job_1445144423722_0020 = 1","<NUM>-10-18 18:01:51,<NUM> INFO [main] org.apache.hadoop.mapreduce.v2.app.job.impl.JobImpl: Number of reduces for job job_<NUM>_<NUM> = 1"
Hadoop_2k,27,,INFO,org.apache.hadoop.mapreduce.v2.app.job.impl.JobImpl,"2015-10-18 18:01:51,650 INFO [main] org.apache.hadoop.mapreduce.v2.app.job.impl.JobImpl: job_1445144423722_0020Job Transitioned from NEW to INITED","<NUM>-10-18 18:01:51,<NUM> INFO [main] org.apache.hadoop.mapreduce.v2.app.job.impl.JobImpl: job_<NUM>_<NUM>0Job Transitioned from NEW to INITED"
Hadoop_2k,28,,INFO,org.apache.hadoop.mapreduce.v2.app.MRAppMaster,"2015-10-18 18:01:51,650 INFO [main] org.apache.hadoop.mapreduce.v2.app.MRAppMaster: MRAppMaster launching normal, non-uberized, multi-container job job_1445144423722_0020.","<NUM>-10-18 18:01:51,<NUM> INFO [main] org.apache.hadoop.mapreduce.v2.app.MRAppMaster: MRAppMaster launching normal, non-uberized, multi-container job job_<NUM>_<NUM>."
Hadoop_2k,29,,INFO,org.apache.hadoop.ipc.CallQueueManager,"2015-10-18 18:01:51,713 INFO [main] org.apache.hadoop.ipc.CallQueueManager: Using callQueue class java.util.concurrent.LinkedBlockingQueue","<NUM>-10-18 18:01:51,<NUM> INFO [main] org.apache.hadoop.ipc.CallQueueManager: Using callQueue class java.util.concurrent.LinkedBlockingQueue"
Hadoop_2k,30,,INFO,org.apache.hadoop.ipc.Server,"2015-10-18 18:01:51,775 INFO [Socket Reader #1 for port 62260] org.apache.hadoop.ipc.Server: Starting Socket Reader #1 for port 62260","<NUM>-10-18 18:01:51,<NUM> INFO [Socket Reader #1 for port <NUM>] org.apache.hadoop.ipc.Server: Starting Socket Reader #1 for port <NUM>"
Hadoop_2k,31,,INFO,org.apache.hadoop.yarn.factories.impl.pb.RpcServerFactoryPBImpl,"2015-10-18 18:01:51,791 INFO [main] org.apache.hadoop.yarn.factories.impl.pb.RpcServerFactoryPBImpl: Adding protocol org.apache.hadoop.mapreduce.v2.api.MRClientProtocolPB to the server","<NUM>-10-18 18:01:51,<NUM> INFO [main] org.apache.hadoop.yarn.factories.impl.pb.RpcServerFactoryPBImpl: Adding protocol org.apache.hadoop.mapreduce.v2.api.MRClientProtocolPB to the server"
Hadoop_2k,32,,INFO,org.apache.hadoop.mapreduce.v2.app.client.MRClientService,"2015-10-18 18:01:51,791 INFO [main] org.apache.hadoop.mapreduce.v2.app.client.MRClientService: Instantiated MRClientService at MININT-FNANLI5.fareast.corp.microsoft.com/10.86.169.121:62260","<NUM>-10-18 18:01:51,<NUM> INFO [main] org.apache.hadoop.mapreduce.v2.app.client.MRClientService: Instantiated MRClientService at MININT-FNANLI5.fareast.corp.microsoft.com<PATH>:<NUM>"
Hadoop_2k,33,,INFO,org.apache.hadoop.ipc.Server,"2015-10-18 18:01:51,806 INFO [IPC Server Responder] org.apache.hadoop.ipc.Server: IPC Server Responder: starting","<NUM>-10-18 18:01:51,<NUM> INFO [IPC Server Responder] org.apache.hadoop.ipc.Server: IPC Server Responder: starting"
Hadoop_2k,34,,INFO,org.apache.hadoop.ipc.Server,"2015-10-18 18:01:51,806 INFO [IPC Server listener on 62260] org.apache.hadoop.ipc.Server: IPC Server listener on 62260: starting","<NUM>-10-18 18:01:51,<NUM> INFO [IPC Server listener on <NUM>] org.apache.hadoop.ipc.Server: IPC Server listener on <NUM>: starting"
Hadoop_2k,35,,INFO,org.mortbay.log,"2015-10-18 18:01:51,885 INFO [main] org.mortbay.log: Logging to org.slf4j.impl.Log4jLoggerAdapter(org.mortbay.log) via org.mortbay.log.Slf4jLog","<NUM>-10-18 18:01:51,<NUM> INFO [main] org.mortbay.log: Logging to org.slf4j.impl.Log4jLoggerAdapter(org.mortbay.log) via org.mortbay.log.Slf4jLog"
Hadoop_2k,36,,INFO,org.apache.hadoop.http.HttpRequestLog,"2015-10-18 18:01:51,900 INFO [main] org.apache.hadoop.http.HttpRequestLog: Http request log for http.requests.mapreduce is not defined","<NUM>-10-18 18:01:51,<NUM> INFO [main] org.apache.hadoop.http.HttpRequestLog: Http request log for http.requests.mapreduce is not defined"
Hadoop_2k,37,,INFO,org.apache.hadoop.http.HttpServer2,"2015-10-18 18:01:51,916 INFO [main] org.apache.hadoop.http.HttpServer2: Added global filter 'safety' (class=org.apache.hadoop.http.HttpServer2$QuotingInputFilter)","<NUM>-10-18 18:01:51,<NUM> INFO [main] org.apache.hadoop.http.HttpServer2: Added global filter 'safety' (class=org.apache.hadoop.http.HttpServer2$QuotingInputFilter)"
Hadoop_2k,38,,INFO,org.apache.hadoop.http.HttpServer2,"2015-10-18 18:01:51,916 INFO [main] org.apache.hadoop.http.HttpServer2: Added filter AM_PROXY_FILTER (class=org.apache.hadoop.yarn.server.webproxy.amfilter.AmIpFilter) to context mapreduce","<NUM>-10-18 18:01:51,<NUM> INFO [main] org.apache.hadoop.http.HttpServer2: Added filter AM_PROXY_FILTER (class=org.apache.hadoop.yarn.server.webproxy.amfilter.AmIpFilter) to context mapreduce"
Hadoop_2k,39,,INFO,org.apache.hadoop.http.HttpServer2,"2015-10-18 18:01:51,916 INFO [main] org.apache.hadoop.http.HttpServer2: Added filter AM_PROXY_FILTER (class=org.apache.hadoop.yarn.server.webproxy.amfilter.AmIpFilter) to context static","<NUM>-10-18 18:01:51,<NUM> INFO [main] org.apache.hadoop.http.HttpServer2: Added filter AM_PROXY_FILTER (class=org.apache.hadoop.yarn.server.webproxy.amfilter.AmIpFilter) to context static"
Hadoop_2k,40,,INFO,org.apache.hadoop.http.HttpServer2,"2015-10-18 18:01:51,947 INFO [main] org.apache.hadoop.http.HttpServer2: adding path spec: /mapreduce/*","<NUM>-10-18 18:01:51,<NUM> INFO [main] org.apache.hadoop.http.HttpServer2: adding path spec: <PATH>"
Hadoop_2k,41,,INFO,org.apache.hadoop.http.HttpServer2,"2015-10-18 18:01:51,947 INFO [main] org.apache.hadoop.http.HttpServer2: adding path spec: /ws/*","<NUM>-10-18 18:01:51,<NUM> INFO [main] org.apache.hadoop.http.HttpServer2: adding path spec: <PATH>"
Hadoop_2k,42,,INFO,org.apache.hadoop.http.HttpServer2,"2015-10-18 18:01:51,963 INFO [main] org.apache.hadoop.http.HttpServer2: Jetty bound to port 62267","<NUM>-10-18 18:01:51,<NUM> INFO [main] org.apache.hadoop.http.HttpServer2: Jetty bound to port <NUM>"
Hadoop_2k,43,,INFO,org.mortbay.log,"2015-10-18 18:01:51,963 INFO [main] org.mortbay.log: jetty-6.1.26","<NUM>-10-18 18:01:51,<NUM> INFO [main] org.mortbay.log: jetty-6.1.26"
Hadoop_2k,44,,INFO,org.mortbay.log,"2015-10-18 18:01:52,088 INFO [main] org.mortbay.log: Extract jar:file:/D:/hadoop-2.6.0-localbox/share/hadoop/yarn/hadoop-yarn-common-2.6.0-SNAPSHOT.jar!/webapps/mapreduce to C:\Users\msrabi\AppData\Local\Temp\Jetty_0_0_0_0_62267_mapreduce____.8n7xum\webapp","<NUM>-10-18 18:01:52,<NUM> INFO [main] org.mortbay.log: Extract jar:file:<PATH>:<PATH> to <PATH>"
Hadoop_2k,45,,INFO,org.mortbay.log,"2015-10-18 18:01:52,728 INFO [main] org.mortbay.log: Started HttpServer2$SelectChannelConnectorWithSafeStartup@0.0.0.0:62267","<NUM>-10-18 18:01:52,<NUM> INFO [main] org.mortbay.log: Started HttpServer2$SelectChannelConnectorWithSafeStartup@<IP>:<NUM>"
Hadoop_2k,46,,INFO,org.apache.hadoop.yarn.webapp.WebApps,"2015-10-18 18:01:52,728 INFO [main] org.apache.hadoop.yarn.webapp.WebApps: Web app /mapreduce started at 62267","<NUM>-10-18 18:01:52,<NUM> INFO [main] org.apache.hadoop.yarn.webapp.WebApps: Web app <PATH> started at <NUM>"
Hadoop_2k,47,,INFO,org.apache.hadoop.yarn.webapp.WebApps,"2015-10-18 18:01:53,400 INFO [main] org.apache.hadoop.yarn.webapp.WebApps: Registered webapp guice modules","<NUM>-10-18 18:01:53,<NUM> INFO [main] org.apache.hadoop.yarn.webapp.WebApps: Registered webapp guice modules"
Hadoop_2k,48,,INFO,org.apache.hadoop.ipc.CallQueueManager,"2015-10-18 18:01:53,400 INFO [main] org.apache.hadoop.ipc.CallQueueManager: Using callQueue class java.util.concurrent.LinkedBlockingQueue","<NUM>-10-18 18:01:53,<NUM> INFO [main] org.apache.hadoop.ipc.CallQueueManager: Using callQueue class java.util.concurrent.LinkedBlockingQueue"
Hadoop_2k,49,,INFO,org.apache.hadoop.mapreduce.v2.app.speculate.DefaultSpeculator,"2015-10-18 18:01:53,447 INFO [AsyncDispatcher event handler] org.apache.hadoop.mapreduce.v2.app.speculate.DefaultSpeculator: JOB_CREATE job_1445144423722_0020","<NUM>-10-18 18:01:53,<NUM> INFO [AsyncDispatcher event handler] org.apache.hadoop.mapreduce.v2.app.speculate.DefaultSpeculator: JOB_CREATE job_<NUM>_<NUM>"
Hadoop_2k,50,,INFO,org.apache.hadoop.mapreduce.v2.app.rm.RMContainerRequestor,"2015-10-18 18:01:53,447 INFO [main] org.apache.hadoop.mapreduce.v2.app.rm.RMContainerRequestor: nodeBlacklistingEnabled:true","<NUM>-10-18 18:01:53,<NUM> INFO [main] org.apache.hadoop.mapreduce.v2.app.rm.RMContainerRequestor: nodeBlacklistingEnabled:true"
Hadoop_2k,51,,INFO,org.apache.hadoop.mapreduce.v2.app.rm.RMContainerRequestor,"2015-10-18 18:01:53,447 INFO [main] org.apache.hadoop.mapreduce.v2.app.rm.RMContainerRequestor: maxTaskFailuresPerNode is 3","<NUM>-10-18 18:01:53,<NUM> INFO [main] org.apache.hadoop.mapreduce.v2.app.rm.RMContainerRequestor: maxTaskFailuresPerNode is 3"
Hadoop_2k,52,,INFO,org.apache.hadoop.mapreduce.v2.app.rm.RMContainerRequestor,"2015-10-18 18:01:53,447 INFO [main] org.apache.hadoop.mapreduce.v2.app.rm.RMContainerRequestor: blacklistDisablePercent is 33","<NUM>-10-18 18:01:53,<NUM> INFO [main] org.apache.hadoop.mapreduce.v2.app.rm.RMContainerRequestor: blacklistDisablePercent is 33"
Hadoop_2k,53,,INFO,org.apache.hadoop.ipc.Server,"2015-10-18 18:01:53,510 INFO [Socket Reader #1 for port 62270] org.apache.hadoop.ipc.Server: Starting Socket Reader #1 for port 62270","<NUM>-10-18 18:01:53,<NUM> INFO [Socket Reader #1 for port <NUM>] org.apache.hadoop.ipc.Server: Starting Socket Reader #1 for port <NUM>"
Hadoop_2k,54,,INFO,org.apache.hadoop.ipc.Server,"2015-10-18 18:01:53,510 INFO [IPC Server listener on 62270] org.apache.hadoop.ipc.Server: IPC Server listener on 62270: starting","<NUM>-10-18 18:01:53,<NUM> INFO [IPC Server listener on <NUM>] org.apache.hadoop.ipc.Server: IPC Server listener on <NUM>: starting"
Hadoop_2k,55,,INFO,org.apache.hadoop.ipc.Server,"2015-10-18 18:01:53,510 INFO [IPC Server Responder] org.apache.hadoop.ipc.Server: IPC Server Responder: starting","<NUM>-10-18 18:01:53,<NUM> INFO [IPC Server Responder] org.apache.hadoop.ipc.Server: IPC Server Responder: starting"
Hadoop_2k,56,,INFO,org.apache.hadoop.yarn.client.RMProxy,"2015-10-18 18:01:53,557 INFO [main] org.apache.hadoop.yarn.client.RMProxy: Connecting to ResourceManager at msra-sa-41/10.190.173.170:8030","<NUM>-10-18 18:01:53,<NUM> INFO [main] org.apache.hadoop.yarn.client.RMProxy: Connecting to ResourceManager at msra-sa-41<PATH>:<NUM>"
Hadoop_2k,57,,INFO,org.apache.hadoop.mapreduce.v2.app.rm.RMContainerAllocator,"2015-10-18 18:01:53,713 INFO [main] org.apache.hadoop.mapreduce.v2.app.rm.RMContainerAllocator: maxContainerCapability: <memory:8192, vCores:32>","<NUM>-10-18 18:01:53,<NUM> INFO [main] org.apache.hadoop.mapreduce.v2.app.rm.RMContainerAllocator: maxContainerCapability: <memory:<NUM>, vCores:32>"
Hadoop_2k,58,,INFO,org.apache.hadoop.mapreduce.v2.app.rm.RMContainerAllocator,"2015-10-18 18:01:53,713 INFO [main] org.apache.hadoop.mapreduce.v2.app.rm.RMContainerAllocator: queue: default","<NUM>-10-18 18:01:53,<NUM> INFO [main] org.apache.hadoop.mapreduce.v2.app.rm.RMContainerAllocator: queue: default"
Hadoop_2k,59,,INFO,org.apache.hadoop.mapreduce.v2.app.launcher.ContainerLauncherImpl,"2015-10-18 18:01:53,713 INFO [main] org.apache.hadoop.mapreduce.v2.app.launcher.ContainerLauncherImpl: Upper limit on the thread pool size is 500","<NUM>-10-18 18:01:53,<NUM> INFO [main] org.apache.hadoop.mapreduce.v2.app.launcher.ContainerLauncherImpl: Upper limit on the thread pool size is <NUM>"
Hadoop_2k,60,,INFO,org.apache.hadoop.yarn.client.api.impl.ContainerManagementProtocolProxy,"2015-10-18 18:01:53,713 INFO [main] org.apache.hadoop.yarn.client.api.impl.ContainerManagementProtocolProxy: yarn.client.max-cached-nodemanagers-proxies : 0","<NUM>-10-18 18:01:53,<NUM> INFO [main] org.apache.hadoop.yarn.client.api.impl.ContainerManagementProtocolProxy: yarn.client.max-cached-nodemanagers-proxies : 0"
Hadoop_2k,61,,INFO,org.apache.hadoop.mapreduce.v2.app.job.impl.JobImpl,"2015-10-18 18:01:53,744 INFO [AsyncDispatcher event handler] org.apache.hadoop.mapreduce.v2.app.job.impl.JobImpl: job_1445144423722_0020Job Transitioned from INITED to SETUP","<NUM>-10-18 18:01:53,<NUM> INFO [AsyncDispatcher event handler] org.apache.hadoop.mapreduce.v2.app.job.impl.JobImpl: job_<NUM>_<NUM>0Job Transitioned from INITED to SETUP"
Hadoop_2k,62,,INFO,org.apache.hadoop.mapreduce.v2.app.commit.CommitterEventHandler,"2015-10-18 18:01:53,775 INFO [CommitterEvent Processor #0] org.apache.hadoop.mapreduce.v2.app.commit.CommitterEventHandler: Processing the event EventType: JOB_SETUP","<NUM>-10-18 18:01:53,<NUM> INFO [CommitterEvent Processor #0] org.apache.hadoop.mapreduce.v2.app.commit.CommitterEventHandler: Processing the event EventType: JOB_SETUP"
Hadoop_2k,63,,INFO,org.apache.hadoop.mapreduce.v2.app.job.impl.JobImpl,"2015-10-18 18:01:53,822 INFO [AsyncDispatcher event handler] org.apache.hadoop.mapreduce.v2.app.job.impl.JobImpl: job_1445144423722_0020Job Transitioned from SETUP to RUNNING","<NUM>-10-18 18:01:53,<NUM> INFO [AsyncDispatcher event handler] org.apache.hadoop.mapreduce.v2.app.job.impl.JobImpl: job_<NUM>_<NUM>0Job Transitioned from SETUP to RUNNING"
Hadoop_2k,64,,INFO,org.apache.hadoop.yarn.util.RackResolver,"2015-10-18 18:01:53,838 INFO [AsyncDispatcher event handler] org.apache.hadoop.yarn.util.RackResolver: Resolved MSRA-SA-39.fareast.corp.microsoft.com to /default-rack","<NUM>-10-18 18:01:53,<NUM> INFO [AsyncDispatcher event handler] org.apache.hadoop.yarn.util.RackResolver: Resolved MSRA-SA-39.fareast.corp.microsoft.com to <PATH>"
