timestamp,raw,final_label,severity,owner_team,tags,cluster_id,t5_template,cluster_template,auto_label
2025-08-27T09:41:14.053,[2025-08-27T09:41:14.053] power down request repeating for node cpu-16c-std-dy-c7i8xlarge-5,unknown,info,unknown,,5,[2025-08-27T09:41:14.053] power down request repeating for node node power down request repeating for node [2025-08-27T09:41:14.053] [2025-08-27T09:41:,[2025-08-27T09:41:14.053] power down request repeating for node <*>,unknown
2025-08-27T09:41:14.053,[2025-08-27T09:41:14.053] update_node: node cpu-16c-std-dy-c7i8xlarge-6 reason set to: stopping cluster,unknown,info,unknown,,6,[2025-08-27T09:41:14.053] update_node: node cpu-16c-sd-dy-c7i8xlarge-6 reason set to: stopping cluster. [2025-08-27T09:41:14.053,[2025-08-27T09:41:14.053] update_node: node <*> reason set to: stopping cluster,unknown
2025-08-27T09:41:14.053,[2025-08-27T09:41:14.053] power down request repeating for node cpu-16c-std-dy-c7i8xlarge-6,unknown,info,unknown,,5,[2025-08-27T09:41:14.053] power down request repeating for node node [2025-08-27T09:41:14.053] power down request repeating for node [2025-08-27T09:41:,[2025-08-27T09:41:14.053] power down request repeating for node <*>,unknown
2025-08-27T09:41:14.053,[2025-08-27T09:41:14.053] update_node: node cpu-16c-std-dy-c7i8xlarge-7 reason set to: stopping cluster,unknown,info,unknown,,6,[2025-08-27T09:41:14.053] update_node: node cpu-16c-std-dy-c7i8xlarge-7 reason set to: stopping cluster. [2025-08-27T09:41:14.0,[2025-08-27T09:41:14.053] update_node: node <*> reason set to: stopping cluster,unknown
2025-08-27T09:41:14.053,[2025-08-27T09:41:14.053] power down request repeating for node cpu-16c-std-dy-c7i8xlarge-7,unknown,info,unknown,,5,[2025-08-27T09:41:14.053] power down request repeating for node. [2025-08-27T09:41:14.053] power down request repeating for node [2025-08-27T09:41:1,[2025-08-27T09:41:14.053] power down request repeating for node <*>,unknown
2025-08-27T09:41:14.053,[2025-08-27T09:41:14.053] update_node: node cpu-16c-std-dy-c7i8xlarge-8 reason set to: stopping cluster,unknown,info,unknown,,6,[2025-08-27T09:41:14.053] update_node: node cpu-16c-std-dy-c7i8xlarge-8 reason set to: stopping cluster [2025-08-27T09:41:14.053,[2025-08-27T09:41:14.053] update_node: node <*> reason set to: stopping cluster,unknown
2025-08-27T09:41:14.053,[2025-08-27T09:41:14.053] power down request repeating for node cpu-16c-std-dy-c7i8xlarge-8,unknown,info,unknown,,5,[2025-08-27T09:41:14.053] power down request repeating for node node [2025-08-27T09:41:14.053] power down request repeating for node [2025-08-27T09:41:,[2025-08-27T09:41:14.053] power down request repeating for node <*>,unknown
2025-08-27T09:41:14.053,[2025-08-27T09:41:14.053] update_node: node cpu-16c-std-dy-c7i8xlarge-9 reason set to: stopping cluster,unknown,info,unknown,,6,[2025-08-27T09:41:14.053] update_node: node cpu-16c-sd-dy-c7i8xlarge-9 reason set to: stopping cluster. [2025-08-27T09:41:14.053,[2025-08-27T09:41:14.053] update_node: node <*> reason set to: stopping cluster,unknown
2025-08-27T09:41:14.053,[2025-08-27T09:41:14.053] power down request repeating for node cpu-16c-std-dy-c7i8xlarge-9,unknown,info,unknown,,5,[2025-08-27T09:41:14.053] power down request repeating for node. [2025-08-27T09:41:14.053] power down request repeating for node [2025-08-27T09:41:1,[2025-08-27T09:41:14.053] power down request repeating for node <*>,unknown
2025-08-27T09:41:14.053,[2025-08-27T09:41:14.053] update_node: node cpu-16c-std-dy-c7i8xlarge-10 reason set to: stopping cluster,unknown,info,unknown,,6,[2025-08-27T09:41:14.053] update_node: node cpu-16c-sd-dy-c7i8xlarge-10 reason set to: stopping cluster. [2025-08-27T09:41:14.053,[2025-08-27T09:41:14.053] update_node: node <*> reason set to: stopping cluster,unknown
2025-08-27T09:41:14.053,[2025-08-27T09:41:14.053] power down request repeating for node cpu-16c-std-dy-c7i8xlarge-10,unknown,info,unknown,,5,[2025-08-27T09:41:14.053] power down request repeating for node node power down request repeating for node [2025-08-27T09:41:14.053] [2025-08-27T09:41:,[2025-08-27T09:41:14.053] power down request repeating for node <*>,unknown
2025-08-27T09:41:14.053,[2025-08-27T09:41:14.053] update_node: node cpu-16c-std-dy-c7i8xlarge-11 reason set to: stopping cluster,unknown,info,unknown,,6,[2025-08-27T09:41:14.053] update_node: node cpu-16c-sd-dy-c7i8xlarge-11 reason set to: stopping cluster. [2025-08-27T09:41:14.053,[2025-08-27T09:41:14.053] update_node: node <*> reason set to: stopping cluster,unknown
2025-08-27T09:41:14.053,[2025-08-27T09:41:14.053] power down request repeating for node cpu-16c-std-dy-c7i8xlarge-11,unknown,info,unknown,,5,[2025-08-27T09:41:14.053] power down request repeating for node. [2025-08-27T09:41:14.053] power down request repeating for node [2025-08-27T09:41:1,[2025-08-27T09:41:14.053] power down request repeating for node <*>,unknown
2025-08-27T09:41:14.053,[2025-08-27T09:41:14.053] update_node: node cpu-16c-std-dy-c7i8xlarge-12 reason set to: stopping cluster,unknown,info,unknown,,6,[2025-08-27T09:41:14.053] update_node: node cpu-16c-std-dy-c7i8xlarge-12 reason set to: stopping cluster. [2025-08-27T09:41:14.0,[2025-08-27T09:41:14.053] update_node: node <*> reason set to: stopping cluster,unknown
