timestamp,raw,final_label,severity,owner_team,tags,cluster_id,t5_template,cluster_template,auto_label
,"[2025-09-03T06:25:23.0000 Gres Name=gpu Type=l4 Count=4 Flags=HAS_FILE,HAS_TYPE,ENV_NVML",gpu_inventory_update,info,infra,"gpu,l4,inventory",12,2025-09-03T06:25:23.0000 Gres] [2025-09-03T06:25:23.0000 Gres] [2025-09-03T06:25:23.0000 Gres] [2025-09-03T06:25:23,"<*> Gres Name=gpu Type=l4 <*> Flags=HAS_FILE,HAS_TYPE,ENV_NVML",gpu_inventory_update
,[2025-09-03T02:30:47.0000 _slurm_rpc_submit_batch_job: JobId=989 InitPrio=32046 usec=6827,job_submit_batch,info,scheduler,"job,submit,batch",16,[2025-09-03T02:30:47.0000 _slurm_rpc_submit_batch_job: [2025-09-03T02:30:47.0000 _slurm_rpc_submit_batch_job,[2025-09-03T02:30:47.0000 _slurm_rpc_submit_batch_job: JobId=989 InitPrio=32046 usec=6827,job_submit_batch
,[2025-09-03T23:57:16.0000 _slurm_rpc_submit_batch_job: JobId=956 InitPrio=35326 usec=6136,job_submit_batch,info,scheduler,"job,submit,batch",17,5-09-03T23:57:16.0000 [2025-09-03T23:57:16.0000 _slurm_rpc_submit_batch_job:]] [2025-09-03T23:57:16.,[2025-09-03T23:57:16.0000 _slurm_rpc_submit_batch_job: JobId=956 InitPrio=35326 usec=6136,job_submit_batch
,[2025-09-03T04:16:20.0000 POWER: Node cpu-8c-std-dy-c7i4xlarge-4 powered up with instance_id=i-1985197,cluster_power_node_online,info,infra,"power,node,online",15,cpu=8c-std-dy-c7i4xlarge-4] [2025-09-03T04:16:20.0000]-c7i4xlarge-4]-c7i4xlarge-4]-,<*> POWER: Node cpu-8c-std-dy-c7i4xlarge-4 powered up with instance_id=i-1985197,cluster_power_node_online
,[2025-09-03T18:45:04.0000 POWER: Power save mode: 338 nodes,cluster_power_save_mode,info,infra,"power,save,cluster",18,] [2025-09-03T18:45:04.0000 POWER: Power save mode: 338 nodes]2025-09-03T18:45:04.0000 POWER:: Power save mode: 338 nodes] [2025-09-03T18,[2025-09-03T18:45:04.0000 POWER: Power save mode: 338 nodes,cluster_power_save_mode
,[2025-09-03T05:34:01.0000 Node cpu-8c-std-dy-c7i4xlarge-3 now responding,node_now_responding,info,infra,"node,recovered,online",8,cpu-8c-std-dy-c7i4xlarge-3 now responding.]c7i4xlarge-3]-c7i4xlarge-3]-c7i4xlarge-3]-5-09T05,<*> Node <*> now responding,node_now_responding
,"[2025-09-03T05:54:09.0000 SchedulerParameters=preempt_youngest_first,bf_resolution=60,bf_window=4320",scheduler_parameters,info,scheduler,"scheduler,config",3,"2025-09-03T05:54:09.0000 SchedulerParameters=preempt_youngest_first,bf_resolution=60,bf_window=4320] [2025-09-03T05:54:09.0000] [2025-0","<*> SchedulerParameters=preempt_youngest_first,bf_resolution=60,bf_window=4320",scheduler_parameters
,[2025-09-03T09:50:03.0000 NETWORK: latency to storage cluster exceeded threshold,network_latency_storage_cluster,warning,network,"network,latency,storage",2,latency to storage cluster exceeded threshold....] [2025-09-03T09:50:03.0000 NETWORK: latency to storage cluster exceeded threshold..] [2025-09-03T09:50:03.0000 NETWORK: latency,<*> NETWORK: latency to storage cluster exceeded threshold,network_latency_storage_cluster
,[2025-09-03T10:31:17.0000 sched: Allocate JobId=1027 NodeList=cpu-8c-std-dy-c7i4xlarge-3 #CPUs=8 Partition=cpu-8c-std,job_allocate,info,scheduler,"job,allocate,node,cpu-8c-std",13,] [2025-09-03T10:31:17.0000 sched: Allocate JobId=1027-dy-c7i4xlarge-3]-dy-c7i4xlarge-3] [2025-09-03T,<*> sched: Allocate <*> <*> #CPUs=8 Partition=cpu-8c-std,job_allocate
,[2025-09-03T17:58:56.0000 POWER: power_save: waking nodes cpu-8c-std-dy-c7i4xlarge-4,cluster_power_save_wake,info,infra,"power,save,wakeup",19,] [2025-09-03T17:58:56.0000 POWER: power_save: waking nodes]] [2025-09-03T17:58:56.0000 POWER: power_save: waking nodes],[2025-09-03T17:58:56.0000 POWER: power_save: waking nodes cpu-8c-std-dy-c7i4xlarge-4,cluster_power_save_wake
,[2025-09-03T01:48:13.0000 Running as primary controller,controller_primary,info,infra,"controller,primary",6,[2025-09-03T01:48:13.0000 Running as primary controller.] [2025-09-03T01:48:13.0000 Running as primary controller.,<*> Running as primary controller,controller_primary
,[2025-09-03T13:51:07.0000 NETWORK: latency to storage cluster exceeded threshold,network_latency_storage_cluster,warning,network,"network,latency,storage",2,latency to storage cluster exceeded threshold..].] [2025-09-03T13:51:07.0000 NETWORK: latency to storage cluster exceeded threshold..] [2025-09-03T13:51:07.0000 NETWORK: latency,<*> NETWORK: latency to storage cluster exceeded threshold,network_latency_storage_cluster
,[2025-09-03T13:11:43.0000 select/cons_tres: preparing for 19 partitions,unknown,info,unknown,,20,[2025-09-03T13:11:43.0000 select/cons_tres: preparing for 19 partitions. [2025-09-03T13:11:43.0000 select/cons_tres: preparing for 19 partitions.,[2025-09-03T13:11:43.0000 select/cons_tres: preparing for 19 partitions,unknown
,[2025-09-03T16:34:16.0000 NETWORK: latency to storage cluster exceeded threshold,network_latency_storage_cluster,warning,network,"network,latency,storage",2,latency to storage cluster exceeded threshold latency to storage cluster exceeded threshold latency to storage cluster exceeded threshold latency to storage cluster exceeded threshold latency to storage cluster exceeded threshold latency to storage cluster exceeded threshold latency to storage cluster exceeded threshold latency to storage cluster exceeded threshold latency to storage cluster exceeded,<*> NETWORK: latency to storage cluster exceeded threshold,network_latency_storage_cluster
,[2025-09-03T14:27:03.0000 sched: Allocate JobId=1021 NodeList=cpu-8c-std-dy-c7i4xlarge-5 #CPUs=8 Partition=cpu-8c-std,job_allocate,info,scheduler,"job,allocate,node,cpu-8c-std",13,2025-09-03T14:27:03.0000 sched: Allocate JobId=1021-dy-c7i4xlarge-5]-dy-c7i4xlarge-5] [2025-09-03T14:27,<*> sched: Allocate <*> <*> #CPUs=8 Partition=cpu-8c-std,job_allocate
,[2025-09-03T03:43:14.0000 POWER: Power save mode: 330 nodes,cluster_power_save_mode,info,infra,"power,save,cluster",18,[2025-09-03T03:43:14.0000 POWER: Power save mode: 330 nodes. [2025-09-03T03:43:14.0000 POWER: Power save mode: 330 nodes.,<*> POWER: Power save mode: <*> nodes,cluster_power_save_mode
,[2025-09-03T03:01:27.0000 _slurm_rpc_submit_batch_job: JobId=1010 InitPrio=33871 usec=5060,job_submit_batch,info,scheduler,"job,submit,batch",21,[2025-09-03T03:01:27.0000 _slurm_rpc_submit_batch_job: [2025-09-03T03:01:27.0000 _slurm_rpc_submit_batch,[2025-09-03T03:01:27.0000 _slurm_rpc_submit_batch_job: JobId=1010 InitPrio=33871 usec=5060,job_submit_batch
,[2025-09-03T16:49:05.0000 POWER: Power save mode: 338 nodes,cluster_power_save_mode,info,infra,"power,save,cluster",18,[2025-09-03T16:49:05.0000 POWER: Power save mode: 338 nodes. [2025-09-03T16:49:05.0000 POWER: Power save mode: 338 nodes.,<*> POWER: Power save mode: <*> nodes,cluster_power_save_mode
,"[2025-09-03T00:51:52.0000 SchedulerParameters=preempt_youngest_first,bf_resolution=60,bf_window=4320",scheduler_parameters,info,scheduler,"scheduler,config",3,2025-09-03T00:51:52.0000] [2025-09-03T00:51:52.0000 [2025-09-03T00:51:52.0000 [2025-09-03T00:51:52.0000] [2025-09-,"<*> SchedulerParameters=preempt_youngest_first,bf_resolution=60,bf_window=4320",scheduler_parameters
,[2025-09-03T06:20:19.0000 _slurm_rpc_submit_batch_job: JobId=955 InitPrio=33633 usec=5519,job_submit_batch,info,scheduler,"job,submit,batch",22,[2025-09-03T06:20:19.0000 _slurm_rpc_submit_batch_job: [2025-09-03T06:20:19.0000 _slurm_rpc_submit_batch,[2025-09-03T06:20:19.0000 _slurm_rpc_submit_batch_job: JobId=955 InitPrio=33633 usec=5519,job_submit_batch
,[2025-09-03T09:20:54.0000 Running as primary controller,controller_primary,info,infra,"controller,primary",6,[2025-09-03T09:20:54.0000 Running as primary controller.] [2025-09-03T09:20:54.0000 Running as primary controller.,<*> Running as primary controller,controller_primary
,[2025-09-03T19:12:05.0000 sched: Allocate JobId=1002 NodeList=cpu-8c-std-dy-c7i4xlarge-4 #CPUs=8 Partition=cpu-8c-std,job_allocate,info,scheduler,"job,allocate,node,cpu-8c-std",13,[2025-09-03T19:12:05.0000 sched: Allocate JobId=1002-dy-c7i4xlarge-4]-dy-c7i4xlarge-4] [2025-09-03T19,<*> sched: Allocate <*> <*> #CPUs=8 Partition=cpu-8c-std,job_allocate
,[2025-09-03T17:05:57.0000 Running as primary controller,controller_primary,info,infra,"controller,primary",6,[2025-09-03T17:05:57.0000 Running as primary controller.] [2025-09-03T17:05:57.0000 Running as primary controller.,<*> Running as primary controller,controller_primary
,[2025-09-03T01:16:28.0000 State of 0 reservations recovered,cluster_state_recovered_no_reservations,info,scheduler,"cluster,state,recovered,no_reservations",5,[2025-09-03T01:16:28.0000 State of 0 reservations recovered recovered. [2025-09-03T01:16:28.0000 State of 0 reservations recovered.,<*> State of 0 reservations recovered,cluster_state_recovered_no_reservations
,[2025-09-03T22:10:50.0000 sched: Allocate JobId=985 NodeList=cpu-8c-std-dy-c7i4xlarge-1 #CPUs=8 Partition=cpu-8c-std,job_allocate,info,scheduler,"job,allocate,node,cpu-8c-std",13,cpu-8c-std-dy-c7i4xlarge-1-dy-c7i4xlarge-1]-dy-c7i4xlarge-1] [2025-09-03T22:10:10.0000 s,<*> sched: Allocate <*> <*> #CPUs=8 Partition=cpu-8c-std,job_allocate
,[2025-09-03T00:41:12.0000 AUTH: failed password for ubuntu,auth_failure,high,security,"auth,security,login_failure",23,2025-09-03T00:41:12.0000 AUTH: failed password for ubuntu] [2025-09-03T00:41:12.0000 AUTH: failed password for ubuntu]] [2025-09-03T,[2025-09-03T00:41:12.0000 AUTH: failed password for ubuntu,auth_failure
,[2025-09-03T09:23:42.0000 POWER: Power save mode: 335 nodes,cluster_power_save_mode,info,infra,"power,save,cluster",18,[2025-09-03T09:23:42.0000 POWER: Power save mode: 335 nodes: [2025-09-03T09:23:42.0000 POWER: [2025-09-03T09:23:42.0000 POWER: Power save mode,<*> POWER: Power save mode: <*> nodes,cluster_power_save_mode
,[2025-09-03T12:45:32.0000 sched: Allocate JobId=959 NodeList=cpu-8c-std-dy-c7i4xlarge-5 #CPUs=8 Partition=cpu-8c-std,job_allocate,info,scheduler,"job,allocate,node,cpu-8c-std",13,2025-09-03T12:45:32.0000 sched:-dy-c7i4xlarge-5]dy-c7i4xlarge-5] [2025-09-03T12:45:32.0000 sched:,<*> sched: Allocate <*> <*> #CPUs=8 Partition=cpu-8c-std,job_allocate
,[2025-09-03T02:06:39.0000 POWER: Node cpu-8c-std-dy-c7i4xlarge-4 powered up with instance_id=i-1985197,cluster_power_node_online,info,infra,"power,node,online",15,_id=i-1985197] [2025-09-03T02:06:39.0000 POWER: Node cpu-8c-std-dy-c7i4xlarge-4]]-c7i4xlarge-4],<*> POWER: Node cpu-8c-std-dy-c7i4xlarge-4 powered up with instance_id=i-1985197,cluster_power_node_online
,[2025-09-03T21:05:55.0000 POWER: power_save: waking nodes cpu-8c-std-dy-c7i4xlarge-4,cluster_power_save_wake,info,infra,"power,save,wakeup",19,] [2025-09-03T21:05:05.0000 POWER: power_save: waking nodes]]-c7i4xlarge-4] [2025-09-03T21:05:05.0000 POWER: power_s,<*> POWER: power_save: waking nodes cpu-8c-std-dy-c7i4xlarge-4,cluster_power_save_wake
,[2025-09-03T23:35:28.0000 NETWORK: latency to storage cluster exceeded threshold,network_latency_storage_cluster,warning,network,"network,latency,storage",2,latency to storage cluster exceeded threshold latency to storage cluster exceeded threshold latency to storage cluster exceeded threshold latency to storage cluster exceeded threshold latency to storage cluster exceeded threshold latency to storage cluster exceeded threshold latency to storage cluster exceeded threshold latency to storage cluster exceeded threshold latency to storage cluster exceeded,<*> NETWORK: latency to storage cluster exceeded threshold,network_latency_storage_cluster
,[2025-09-03T20:48:23.0000 POWER: no more nodes to resume for job JobId=986,cluster_power_save_complete,info,infra,"power,save,complete",1,] [2025-09-03T20:48:23.0000 POWER: no more nodes resume for job] [2025-09-03T20:48:23.0000 POWER: no more nodes resume for job] POWER: no more nodes:,<*> POWER: no more nodes to resume for job JobId=986,cluster_power_save_complete
,[2025-09-03T22:23:17.0000 Node cpu-8c-std-dy-c7i4xlarge-5 now responding,node_now_responding,info,infra,"node,recovered,online",8,[2025-09-03T22:23:17.0000 Node cpu-8c-std-dy-c7i4xlarge-5 now responding now now]-c7i4xlarge-5] [2025-09-03T22:,<*> Node <*> now responding,node_now_responding
,[2025-09-03T23:07:33.0000 Node cpu-8c-std-dy-c7i4xlarge-1 now responding,node_now_responding,info,infra,"node,recovered,online",8,cpu-8c-std-dy-c7i4xlarge-1 now responding.]-c7i4xlarge-1 now responding-c7i4-c7i45-09-03T23:07:33.0000,<*> Node <*> now responding,node_now_responding
,[2025-09-03T00:05:10.0000 sched: Allocate JobId=978 NodeList=cpu-8c-std-dy-c7i4xlarge-2 #CPUs=8 Partition=cpu-8c-std,job_allocate,info,scheduler,"job,allocate,node,cpu-8c-std",13,2025-09-03T00:05:10.0000 sched:-dy-c7i4xlarge-2] [2025-09-03T00:05:10.0000 sched: Allocate JobId=978] [2025-09-,<*> sched: Allocate <*> <*> #CPUs=8 Partition=cpu-8c-std,job_allocate
,[2025-09-03T09:49:25.0000 Node cpu-8c-std-dy-c7i4xlarge-5 now responding,node_now_responding,info,infra,"node,recovered,online",8,cpu-8c-std-dy-c7i4xlarge-5 now responding now now [2025-09-03T09:49:25.0000 Node cpu-c7i4xlarge-5 now responding now-c7i,<*> Node <*> now responding,node_now_responding
,[2025-09-03T01:21:32.0000 select/cons_tres: preparing for 19 partitions,unknown,info,unknown,,20,[2025-09T01:21:32.0000 select/cons_tres: preparing for 19 partitions..]. [2025-09-03T01:21:32.0000 select/cons_tres: preparing for 19 partitions..,<*> select/cons_tres: preparing for 19 partitions,unknown
,[2025-09-03T13:19:03.0000 POWER: Power save mode: 331 nodes,cluster_power_save_mode,info,infra,"power,save,cluster",18,[2025-09-03T13:19:03.0000 POWER: Power save mode: 331 nodes [2025-09-03T13:19:03.0000 POWER: Power save mode: 331 nodes [2025-09-03T13:19:03.0000 POWER,<*> POWER: Power save mode: <*> nodes,cluster_power_save_mode
,[2025-09-03T22:12:36.0000 POWER: no more nodes to resume for job JobId=986,cluster_power_save_complete,info,infra,"power,save,complete",1,] [2025-09-03T22:12:36.0000 POWER: no more nodes resume for job] [2025-09-03T22:12:36.0000 POWER: no more nodes resume for job]:36.0000 POWER: no,<*> POWER: no more nodes to resume for job JobId=986,cluster_power_save_complete
,[2025-09-03T22:44:48.0000 DISK: /var is 97% full on node cpu-8c-std,disk_usage_high,warning,storage,"disk,usage,high",24,[2025-09-03T22:44:40.00 DISK: /var is 97% full on node cpu-8c-std]]] [2025-09-03T22:44:40.00 DISK:],[2025-09-03T22:44:48.0000 DISK: /var is 97% full on node cpu-8c-std,disk_usage_high
